model,t,section,scale,size,metric,value
meraFM_L64_h128_ep50,0.1,A_marginal,1,64,skew,-0.02923429252396257
meraFM_L64_h128_ep50,0.1,A_marginal,1,64,kurt,-1.7594677217547137
meraFM_L64_h128_ep50,0.1,A_marginal,1,64,ks,0.170726040356186
meraFM_L64_h128_ep50,0.1,A_marginal,2,32,skew,-0.01835981411285869
meraFM_L64_h128_ep50,0.1,A_marginal,2,32,kurt,-1.3794479628035903
meraFM_L64_h128_ep50,0.1,A_marginal,2,32,ks,0.10941514540691233
meraFM_L64_h128_ep50,0.1,A_marginal,3,16,skew,0.007957392589365826
meraFM_L64_h128_ep50,0.1,A_marginal,3,16,kurt,-1.044354163210074
meraFM_L64_h128_ep50,0.1,A_marginal,3,16,ks,0.07790825344825092
meraFM_L64_h128_ep50,0.1,A_marginal,4,8,skew,0.020282538018563768
meraFM_L64_h128_ep50,0.1,A_marginal,4,8,kurt,-1.0702164362994109
meraFM_L64_h128_ep50,0.1,A_marginal,4,8,ks,0.07787590641357245
meraFM_L64_h128_ep50,0.1,A_marginal,5,4,skew,0.02190595830913095
meraFM_L64_h128_ep50,0.1,A_marginal,5,4,kurt,-0.27028681352553807
meraFM_L64_h128_ep50,0.1,A_marginal,5,4,ks,0.02002464414586891
meraFM_L64_h128_ep50,0.1,A_marginal,6,2,skew,-0.0043821648322656765
meraFM_L64_h128_ep50,0.1,A_marginal,6,2,kurt,-0.1115545101803943
meraFM_L64_h128_ep50,0.1,A_marginal,6,2,ks,0.016724833501543634
meraFM_L64_h128_ep50,0.1,B_adjacent,1->2,64,mmd2,0.0029488801956176758
meraFM_L64_h128_ep50,0.1,B_adjacent,1->2,64,w1,0.15068473293677945
meraFM_L64_h128_ep50,0.1,B_adjacent,2->3,32,mmd2,0.0019054412841796875
meraFM_L64_h128_ep50,0.1,B_adjacent,2->3,32,w1,0.07194643214042175
meraFM_L64_h128_ep50,0.1,B_adjacent,3->4,16,mmd2,0.0009065866470336914
meraFM_L64_h128_ep50,0.1,B_adjacent,3->4,16,w1,0.04318764642486684
meraFM_L64_h128_ep50,0.1,B_adjacent,4->5,8,mmd2,0.0062781572341918945
meraFM_L64_h128_ep50,0.1,B_adjacent,4->5,8,w1,0.14676592556119736
meraFM_L64_h128_ep50,0.1,B_adjacent,5->6,4,mmd2,-0.00048470497131347656
meraFM_L64_h128_ep50,0.1,B_adjacent,5->6,4,w1,0.03554715224857015
meraFM_L64_h128_ep50,0.3,A_marginal,1,64,skew,-0.08082518893874636
meraFM_L64_h128_ep50,0.3,A_marginal,1,64,kurt,-1.704606359548798
meraFM_L64_h128_ep50,0.3,A_marginal,1,64,ks,0.17102840217135862
meraFM_L64_h128_ep50,0.3,A_marginal,2,32,skew,-0.027902025785227658
meraFM_L64_h128_ep50,0.3,A_marginal,2,32,kurt,-1.3161274939008627
meraFM_L64_h128_ep50,0.3,A_marginal,2,32,ks,0.10333955560919594
meraFM_L64_h128_ep50,0.3,A_marginal,3,16,skew,-0.03661709856187545
meraFM_L64_h128_ep50,0.3,A_marginal,3,16,kurt,-1.0443992580247488
meraFM_L64_h128_ep50,0.3,A_marginal,3,16,ks,0.07914140352574273
meraFM_L64_h128_ep50,0.3,A_marginal,4,8,skew,0.04955901776386689
meraFM_L64_h128_ep50,0.3,A_marginal,4,8,kurt,-1.0560415162300254
meraFM_L64_h128_ep50,0.3,A_marginal,4,8,ks,0.07767562198091504
meraFM_L64_h128_ep50,0.3,A_marginal,5,4,skew,-0.02341240483006148
meraFM_L64_h128_ep50,0.3,A_marginal,5,4,kurt,-0.2430960631919663
meraFM_L64_h128_ep50,0.3,A_marginal,5,4,ks,0.015690705607075528
meraFM_L64_h128_ep50,0.3,A_marginal,6,2,skew,-0.02015993767463253
meraFM_L64_h128_ep50,0.3,A_marginal,6,2,kurt,-0.12842891637666964
meraFM_L64_h128_ep50,0.3,A_marginal,6,2,ks,0.01770212546108163
meraFM_L64_h128_ep50,0.3,B_adjacent,1->2,64,mmd2,0.004399299621582031
meraFM_L64_h128_ep50,0.3,B_adjacent,1->2,64,w1,0.1385001348578956
meraFM_L64_h128_ep50,0.3,B_adjacent,2->3,32,mmd2,0.0009191036224365234
meraFM_L64_h128_ep50,0.3,B_adjacent,2->3,32,w1,0.06280427213249452
meraFM_L64_h128_ep50,0.3,B_adjacent,3->4,16,mmd2,0.0030298233032226562
meraFM_L64_h128_ep50,0.3,B_adjacent,3->4,16,w1,0.05974795843740842
meraFM_L64_h128_ep50,0.3,B_adjacent,4->5,8,mmd2,0.007000923156738281
meraFM_L64_h128_ep50,0.3,B_adjacent,4->5,8,w1,0.14845848637461284
meraFM_L64_h128_ep50,0.3,B_adjacent,5->6,4,mmd2,-0.0004934072494506836
meraFM_L64_h128_ep50,0.3,B_adjacent,5->6,4,w1,0.03503097246308849
meraFM_L64_h128_ep50,0.5,A_marginal,1,64,skew,-0.053875846373655674
meraFM_L64_h128_ep50,0.5,A_marginal,1,64,kurt,-1.649609580745334
meraFM_L64_h128_ep50,0.5,A_marginal,1,64,ks,0.16287467543267375
meraFM_L64_h128_ep50,0.5,A_marginal,2,32,skew,-0.034997027497949466
meraFM_L64_h128_ep50,0.5,A_marginal,2,32,kurt,-1.2736985854019391
meraFM_L64_h128_ep50,0.5,A_marginal,2,32,ks,0.09854724772296597
meraFM_L64_h128_ep50,0.5,A_marginal,3,16,skew,-0.05348446179771433
meraFM_L64_h128_ep50,0.5,A_marginal,3,16,kurt,-1.063851674904881
meraFM_L64_h128_ep50,0.5,A_marginal,3,16,ks,0.08138401132236073
meraFM_L64_h128_ep50,0.5,A_marginal,4,8,skew,0.056759457605976775
meraFM_L64_h128_ep50,0.5,A_marginal,4,8,kurt,-1.0679766344267827
meraFM_L64_h128_ep50,0.5,A_marginal,4,8,ks,0.078237541884986
meraFM_L64_h128_ep50,0.5,A_marginal,5,4,skew,-0.04423520817804879
meraFM_L64_h128_ep50,0.5,A_marginal,5,4,kurt,-0.25203934112413995
meraFM_L64_h128_ep50,0.5,A_marginal,5,4,ks,0.017947711553644496
meraFM_L64_h128_ep50,0.5,A_marginal,6,2,skew,-0.025249907043408414
meraFM_L64_h128_ep50,0.5,A_marginal,6,2,kurt,-0.11682550201183917
meraFM_L64_h128_ep50,0.5,A_marginal,6,2,ks,0.0157735419419055
