label,folder,L,T,epoch,pair,zscore_mse,gauge_mse,ratio
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,f_1->f_2,0.4438,0.2956,0.666
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,f_2->f_3,1.6597,1.0551,0.636
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,f_3->f_4,1.0389,0.7814,0.752
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,f_4->f_5,0.0019,0.0007,0.359
"T = 2.269 (T_c, hs_dataDriven)",data/32Ising_T2.269185314213022_hs_dataDriven,32,2.26919,16000,f_1->f_2,0.5886,0.4608,0.783
"T = 2.269 (T_c, hs_dataDriven)",data/32Ising_T2.269185314213022_hs_dataDriven,32,2.26919,16000,f_2->f_3,0.6885,0.2953,0.429
"T = 2.269 (T_c, hs_dataDriven)",data/32Ising_T2.269185314213022_hs_dataDriven,32,2.26919,16000,f_3->f_4,2.2568,1.5267,0.676
"T = 2.269 (T_c, hs_dataDriven)",data/32Ising_T2.269185314213022_hs_dataDriven,32,2.26919,16000,f_4->f_5,0.0256,0.034,1.326
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.26919,19800,f_1->f_2,0.752,0.4827,0.642
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.26919,19800,f_2->f_3,1.6836,1.0651,0.633
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.26919,19800,f_3->f_4,1.4541,0.9637,0.663
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.26919,19800,f_4->f_5,0.0891,0.0431,0.483
L=32 combined_lam1.0_stride8h32_b64 (I.2+III.1),data/32Ising_T2.269_hsBignet_combined_lam1.0_stride8h32_b64,32,2.26919,19800,f_1->f_2,0.3364,0.2474,0.735
L=32 combined_lam1.0_stride8h32_b64 (I.2+III.1),data/32Ising_T2.269_hsBignet_combined_lam1.0_stride8h32_b64,32,2.26919,19800,f_2->f_3,0.0827,0.0714,0.863
L=32 combined_lam1.0_stride8h32_b64 (I.2+III.1),data/32Ising_T2.269_hsBignet_combined_lam1.0_stride8h32_b64,32,2.26919,19800,f_3->f_4,0.035,0.0259,0.74
L=32 combined_lam1.0_stride8h32_b64 (I.2+III.1),data/32Ising_T2.269_hsBignet_combined_lam1.0_stride8h32_b64,32,2.26919,19800,f_4->f_5,0.0,0.0,1.136
L=32 i1_df4.0,data/32Ising_T2.269_hsBignet_i1_df4.0,32,2.26919,19800,f_1->f_2,0.5524,0.3281,0.594
L=32 i1_df4.0,data/32Ising_T2.269_hsBignet_i1_df4.0,32,2.26919,19800,f_2->f_3,0.32,0.1089,0.34
L=32 i1_df4.0,data/32Ising_T2.269_hsBignet_i1_df4.0,32,2.26919,19800,f_3->f_4,1.566,1.3601,0.869
L=32 i1_df4.0,data/32Ising_T2.269_hsBignet_i1_df4.0,32,2.26919,19800,f_4->f_5,1.1484,1.2395,1.079
L=32 i2_stride16h32,data/32Ising_T2.269_hsBignet_i2_stride16h32,32,2.26919,19800,f_1->f_2,0.7685,0.551,0.717
L=32 i2_stride16h32,data/32Ising_T2.269_hsBignet_i2_stride16h32,32,2.26919,19800,f_2->f_3,0.4225,0.2324,0.55
L=32 i2_stride16h32,data/32Ising_T2.269_hsBignet_i2_stride16h32,32,2.26919,19800,f_3->f_4,0.0634,0.0642,1.014
L=32 i2_stride16h32,data/32Ising_T2.269_hsBignet_i2_stride16h32,32,2.26919,19800,f_4->f_5,0.0004,0.0006,1.355
L=32 i2_stride4h32,data/32Ising_T2.269_hsBignet_i2_stride4h32,32,2.26919,19800,f_1->f_2,0.5987,0.4724,0.789
L=32 i2_stride4h32,data/32Ising_T2.269_hsBignet_i2_stride4h32,32,2.26919,19800,f_2->f_3,0.6583,0.1363,0.207
L=32 i2_stride4h32,data/32Ising_T2.269_hsBignet_i2_stride4h32,32,2.26919,19800,f_3->f_4,0.0873,0.0629,0.72
L=32 i2_stride4h32,data/32Ising_T2.269_hsBignet_i2_stride4h32,32,2.26919,19800,f_4->f_5,0.0003,0.0004,1.411
L=32 i2_stride4h32_b64 (Phase-2),data/32Ising_T2.269_hsBignet_i2_stride4h32_b64,32,2.26919,19800,f_1->f_2,0.6946,0.4679,0.674
L=32 i2_stride4h32_b64 (Phase-2),data/32Ising_T2.269_hsBignet_i2_stride4h32_b64,32,2.26919,19800,f_2->f_3,0.6107,0.1862,0.305
L=32 i2_stride4h32_b64 (Phase-2),data/32Ising_T2.269_hsBignet_i2_stride4h32_b64,32,2.26919,19800,f_3->f_4,0.2198,0.0758,0.345
L=32 i2_stride4h32_b64 (Phase-2),data/32Ising_T2.269_hsBignet_i2_stride4h32_b64,32,2.26919,19800,f_4->f_5,0.0009,0.0008,0.93
L=32 i2_stride8h32_b64 (+I.2 cond),data/32Ising_T2.269_hsBignet_i2_stride8h32_b64,32,2.26919,19800,f_1->f_2,0.5416,0.308,0.569
L=32 i2_stride8h32_b64 (+I.2 cond),data/32Ising_T2.269_hsBignet_i2_stride8h32_b64,32,2.26919,19800,f_2->f_3,0.7397,0.4546,0.615
L=32 i2_stride8h32_b64 (+I.2 cond),data/32Ising_T2.269_hsBignet_i2_stride8h32_b64,32,2.26919,19800,f_3->f_4,1.9701,1.6212,0.823
L=32 i2_stride8h32_b64 (+I.2 cond),data/32Ising_T2.269_hsBignet_i2_stride8h32_b64,32,2.26919,19800,f_4->f_5,0.0628,0.0598,0.952
L=32 i2_stride8h64_b64 (Phase-2),data/32Ising_T2.269_hsBignet_i2_stride8h64_b64,32,2.26919,19800,f_1->f_2,0.4782,0.3989,0.834
L=32 i2_stride8h64_b64 (Phase-2),data/32Ising_T2.269_hsBignet_i2_stride8h64_b64,32,2.26919,19800,f_2->f_3,0.3844,0.1906,0.496
L=32 i2_stride8h64_b64 (Phase-2),data/32Ising_T2.269_hsBignet_i2_stride8h64_b64,32,2.26919,19800,f_3->f_4,0.1006,0.0844,0.839
L=32 i2_stride8h64_b64 (Phase-2),data/32Ising_T2.269_hsBignet_i2_stride8h64_b64,32,2.26919,19800,f_4->f_5,0.0002,0.0001,0.531
L=32 iii1_lam0.1_b64,data/32Ising_T2.269_hsBignet_iii1_lam0.1_b64,32,2.26919,19800,f_1->f_2,0.7116,0.5974,0.839
L=32 iii1_lam0.1_b64,data/32Ising_T2.269_hsBignet_iii1_lam0.1_b64,32,2.26919,19800,f_2->f_3,0.5689,0.2415,0.424
L=32 iii1_lam0.1_b64,data/32Ising_T2.269_hsBignet_iii1_lam0.1_b64,32,2.26919,19800,f_3->f_4,1.7775,1.1665,0.656
L=32 iii1_lam0.1_b64,data/32Ising_T2.269_hsBignet_iii1_lam0.1_b64,32,2.26919,19800,f_4->f_5,0.08,0.0614,0.768
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.26919,19800,f_1->f_2,0.3887,0.2872,0.739
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.26919,19800,f_2->f_3,0.1806,0.0791,0.438
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.26919,19800,f_3->f_4,1.3515,1.0705,0.792
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.26919,19800,f_4->f_5,0.0001,0.0,0.0
L=32 iii1_lam10.0_b64,data/32Ising_T2.269_hsBignet_iii1_lam10.0_b64,32,2.26919,19800,f_1->f_2,0.0436,0.0434,0.994
L=32 iii1_lam10.0_b64,data/32Ising_T2.269_hsBignet_iii1_lam10.0_b64,32,2.26919,19800,f_2->f_3,0.0027,0.0029,1.08
L=32 iii1_lam10.0_b64,data/32Ising_T2.269_hsBignet_iii1_lam10.0_b64,32,2.26919,19800,f_3->f_4,0.0,0.0,0.009
L=32 iii1_lam10.0_b64,data/32Ising_T2.269_hsBignet_iii1_lam10.0_b64,32,2.26919,19800,f_4->f_5,0.0,0.0,0.0
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.26919,9500,f_1->f_2,0.7189,0.5034,0.7
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.26919,9500,f_2->f_3,1.6536,1.4307,0.865
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.26919,9500,f_3->f_4,2.0664,1.7868,0.865
"T = 2.269 (T_c, hs_bignet)",data/32Ising_T2.269_hs_bignet,32,2.26919,9500,f_4->f_5,0.029,0.0245,0.843
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,f_1->f_2,0.6282,0.4285,0.682
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,f_2->f_3,0.0354,0.0142,0.401
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,f_3->f_4,0.0015,0.0001,0.046
T_c pathgrad_bignet_long_ext (STL),data/32Ising_T2.269_pathgrad_bignet_long_ext,32,2.269,4950,f_4->f_5,0.0,0.0,0.0
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,f_1->f_2,0.5397,0.3491,0.647
T_c sym_bignet (rev-KL),data/32Ising_T2.269_sym_bignet,32,2.269,5950,f_2->f_3,0.0588,0.0124,0.211
