label,folder,L,T,epoch,scale_s,L_s,source,metric,value
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,0,32,mera_subsampled,moment_mean,0.07170471549034119
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,0,32,mera_subsampled,moment_std,3.8077914714813232
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,0,32,mera_subsampled,moment_var,14.499276161193848
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,0,32,mera_subsampled,moment_kurtosis,-1.422247275224712
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,0,32,mera_subsampled,moment_skew,-0.03001022170228763
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,1,16,mera_subsampled,moment_mean,-6.434778213500977
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,1,16,mera_subsampled,moment_std,13.858903884887695
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,1,16,mera_subsampled,moment_var,192.0692138671875
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,1,16,mera_subsampled,moment_kurtosis,-0.680001165313596
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,1,16,mera_subsampled,moment_skew,-0.1340079972011286
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,2,8,mera_subsampled,moment_mean,-4.807034015655518
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,2,8,mera_subsampled,moment_std,13.083667755126953
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,2,8,mera_subsampled,moment_var,171.18235778808594
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,2,8,mera_subsampled,moment_kurtosis,-1.3312533748166537
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,2,8,mera_subsampled,moment_skew,-0.05426699493014816
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,3,4,mera_subsampled,moment_mean,-0.8373194336891174
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,3,4,mera_subsampled,moment_std,7.11987829208374
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,3,4,mera_subsampled,moment_var,50.692665100097656
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,3,4,mera_subsampled,moment_kurtosis,-1.3764060220368526
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,3,4,mera_subsampled,moment_skew,-0.014845041372176928
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,4,2,mera_subsampled,moment_mean,0.6714745759963989
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,4,2,mera_subsampled,moment_std,5.945944309234619
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,4,2,mera_subsampled,moment_var,35.354251861572266
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,4,2,mera_subsampled,moment_kurtosis,-1.2525780799956365
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,4,2,mera_subsampled,moment_skew,0.017363801378467665
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,5,1,mera_subsampled,moment_mean,0.5226792097091675
