label,folder,L,T,epoch,scale_s,L_s,source,metric,value
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,0,32,cross_gauge,v5_gauge_ks,0.001615000000000033
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,0,32,cross_gauge,v5_gauge_w1,0.01844817870796432
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,0,32,cross_gauge,v5_gauge_rms_g,0.0
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,1,16,cross_gauge,v5_gauge_ks,0.005940000000000001
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,1,16,cross_gauge,v5_gauge_w1,0.01604871209648973
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,1,16,cross_gauge,v5_gauge_rms_g,0.07112456858158112
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,2,8,cross_gauge,v5_gauge_ks,0.005195312499999993
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,2,8,cross_gauge,v5_gauge_w1,0.01916459979514039
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,2,8,cross_gauge,v5_gauge_rms_g,0.04608309268951416
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,3,4,cross_gauge,v5_gauge_ks,0.006000000000000005
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,3,4,cross_gauge,v5_gauge_w1,0.006012130099301227
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,3,4,cross_gauge,v5_gauge_rms_g,0.02512664534151554
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,4,2,cross_gauge,v5_gauge_ks,0.00675
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,4,2,cross_gauge,v5_gauge_w1,0.009063744571948048
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,4,2,cross_gauge,v5_gauge_rms_g,nan
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,5,1,cross_gauge,v5_gauge_ks,0.015
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,5,1,cross_gauge,v5_gauge_w1,0.01896011856038238
"T = 2.15  (low T, ordered)",data/32Ising_T2.15_hs_dataDriven,32,2.15,16500,5,1,cross_gauge,v5_gauge_rms_g,nan
"T = 2.269 (T_c, hs_dataDriven)",data/32Ising_T2.269185314213022_hs_dataDriven,32,2.269185314213022,16000,0,32,cross_gauge,v5_gauge_ks,0.004729999999999901
"T = 2.269 (T_c, hs_dataDriven)",data/32Ising_T2.269185314213022_hs_dataDriven,32,2.269185314213022,16000,0,32,cross_gauge,v5_gauge_w1,0.013339982325982411
"T = 2.269 (T_c, hs_dataDriven)",data/32Ising_T2.269185314213022_hs_dataDriven,32,2.269185314213022,16000,0,32,cross_gauge,v5_gauge_rms_g,0.0
"T = 2.269 (T_c, hs_dataDriven)",data/32Ising_T2.269185314213022_hs_dataDriven,32,2.269185314213022,16000,1,16,cross_gauge,v5_gauge_ks,0.0023100000000000342
"T = 2.269 (T_c, hs_dataDriven)",data/32Ising_T2.269185314213022_hs_dataDriven,32,2.269185314213022,16000,1,16,cross_gauge,v5_gauge_w1,0.017336409289036493
"T = 2.269 (T_c, hs_dataDriven)",data/32Ising_T2.269185314213022_hs_dataDriven,32,2.269185314213022,16000,1,16,cross_gauge,v5_gauge_rms_g,0.10983866453170776
