L,N,T,H_pHS,LOSS_best,LOSS_last,KL_best,KL_last,best_ep
8,64,2.150000,117.2218,117.8003,118.1965,0.5785,0.9746,19452
8,64,2.220000,117.7082,118.4418,118.6499,0.7336,0.9417,17716
8,64,2.269185,118.1234,118.8462,119.1164,0.7228,0.9930,16014
8,64,2.320000,118.6453,119.4254,119.7481,0.7801,1.1028,16400
8,64,2.400000,119.3774,120.1681,120.4694,0.7907,1.0920,18953
16,256,2.150000,467.9605,470.0443,470.5549,2.0838,2.5943,18455
16,256,2.220000,471.2744,474.8055,476.0644,3.5311,4.7900,18770
16,256,2.269185,474.3497,479.0870,479.6188,4.7373,5.2691,18766
16,256,2.320000,478.3344,483.6764,484.4222,5.3420,6.0878,17158
16,256,2.400000,483.4727,486.4000,486.9152,2.9273,3.4425,15709
32,1024,2.150000,1870.0024,1878.5968,1879.6796,8.5943,9.6772,16301
32,1024,2.220000,1885.5293,1897.4917,1914.1354,11.9624,28.6061,13210
32,1024,2.269185,1902.6011,1917.9054,1921.6977,15.3043,19.0966,9496
32,1024,2.320000,1924.5624,1939.5101,1939.9339,14.9477,15.3715,16674
32,1024,2.400000,1946.4007,1962.2497,1963.5281,15.8490,17.1273,13815
