L,N,T,H_pHS,LOSS_best,KL_best,best_ep,folder
8,64,2.150000,117.2218,117.8003,0.5785,19452,data/8Ising_T2.15_hs_dataDriven
8,64,2.220000,117.7082,118.4418,0.7336,17716,data/8Ising_T2.22_hs_dataDriven
8,64,2.269185,118.1234,118.8462,0.7228,16014,data/8Ising_T2.269185314213022_hs_dataDriven
8,64,2.320000,118.6453,119.4254,0.7801,16400,data/8Ising_T2.32_hs_dataDriven
8,64,2.400000,119.3774,120.1681,0.7907,18953,data/8Ising_T2.4_hs_dataDriven
16,256,2.150000,467.9605,470.0443,2.0838,18455,data/16Ising_T2.15_hs_dataDriven
16,256,2.220000,471.2744,474.8055,3.5311,18770,data/16Ising_T2.22_hs_dataDriven
16,256,2.269185,474.3497,477.5082,3.1585,22845,data/16Ising_T2.269_hs_dataDriven
16,256,2.320000,478.3344,483.6764,5.3420,17158,data/16Ising_T2.32_hs_dataDriven
16,256,2.400000,483.4727,486.4000,2.9273,15709,data/16Ising_T2.4_hs_dataDriven
32,1024,2.150000,1870.0024,1878.5968,8.5943,16301,data/32Ising_T2.15_hs_dataDriven
32,1024,2.220000,1885.5293,1897.4917,11.9624,13210,data/32Ising_T2.22_hs_dataDriven
32,1024,2.269185,1902.6011,1917.9054,15.3043,9496,data/32Ising_T2.269185314213022_hs_dataDriven
32,1024,2.320000,1924.5624,1939.5101,14.9477,16674,data/32Ising_T2.32_hs_dataDriven
32,1024,2.400000,1946.4007,1962.2497,15.8490,13815,data/32Ising_T2.4_hs_dataDriven
