model,section,scale,metric,value
L32_champion,A_marginal,1,skew,-0.3008031750210909
L32_champion,A_marginal,1,kurt_excess,0.8352295221253812
L32_champion,A_marginal,1,ks_to_N01,0.0250551120338518
L32_champion,A_marginal,2,skew,0.035009980481688
L32_champion,A_marginal,2,kurt_excess,0.31451533850419366
L32_champion,A_marginal,2,ks_to_N01,0.019917434228480024
L32_champion,A_marginal,3,skew,0.1121088073790771
L32_champion,A_marginal,3,kurt_excess,0.11200923321890865
L32_champion,A_marginal,3,ks_to_N01,0.02761251411734983
L32_champion,A_marginal,4,skew,-0.35729567028732606
L32_champion,A_marginal,4,kurt_excess,0.34728203269023306
L32_champion,A_marginal,4,ks_to_N01,0.048447728446266214
L32_champion,A_marginal,5,skew,-0.47112980143792266
L32_champion,A_marginal,5,kurt_excess,0.23738771888594412
L32_champion,A_marginal,5,ks_to_N01,0.052788254915441424
L32_champion,B_cross_scale,1,mmd2_marginal,0.0011142492294311523
L32_champion,B_cross_scale,1,w1_marginal,0.07126345327699324
L32_champion,B_cross_scale,1,ks_marginal,0.03658125000000001
L32_champion,B_cross_scale,2,mmd2_marginal,8.893013000488281e-05
L32_champion,B_cross_scale,2,w1_marginal,0.020582644989255987
L32_champion,B_cross_scale,2,ks_marginal,0.014843749999999989
L32_champion,B_cross_scale,3,mmd2_marginal,0.006471157073974609
L32_champion,B_cross_scale,3,w1_marginal,0.12784373162446172
L32_champion,B_cross_scale,3,ks_marginal,0.075
L32_champion,B_cross_scale,4,mmd2_marginal,-0.0008215904235839844
L32_champion,B_cross_scale,4,w1_marginal,0.042939283798623315
L32_champion,B_cross_scale,4,ks_marginal,0.022
L32_champion,C_Gr,1,G0,4.129034519195557
L32_champion,C_Gr,1,xi_s,inf
L32_champion,C_Gr,2,G0,6.40548849105835
L32_champion,C_Gr,2,xi_s,19.372443957842933
L32_champion,C_Gr,3,G0,4.851885795593262
L32_champion,C_Gr,3,xi_s,nan
L32_champion,C_Gr,4,G0,3.647632360458374
L32_champion,C_Gr,4,xi_s,nan
L32_champion,D_fwd_inv,1,mmd2_marginal,0.0006597042083740234
L32_champion,D_fwd_inv,2,mmd2_marginal,0.00038611888885498047
L32_champion,D_fwd_inv,3,mmd2_marginal,0.0013508796691894531
L32_champion,D_fwd_inv,4,mmd2_marginal,0.0025315284729003906
L64_champion,A_marginal,1,skew,-0.31932132057574936
L64_champion,A_marginal,1,kurt_excess,1.5624265881787291
L64_champion,A_marginal,1,ks_to_N01,0.02462000614483484
L64_champion,A_marginal,2,skew,-0.48667861082766894
L64_champion,A_marginal,2,kurt_excess,2.9883477033999064
L64_champion,A_marginal,2,ks_to_N01,0.07677984088505849
L64_champion,A_marginal,3,skew,-0.8188794342762228
L64_champion,A_marginal,3,kurt_excess,3.2232551594587058
L64_champion,A_marginal,3,ks_to_N01,0.08483278120168447
L64_champion,A_marginal,4,skew,-0.639049331181092
L64_champion,A_marginal,4,kurt_excess,2.386456446603747
L64_champion,A_marginal,4,ks_to_N01,0.064146284576794
L64_champion,A_marginal,5,skew,-0.6995192512689996
L64_champion,A_marginal,5,kurt_excess,2.4410356999990084
L64_champion,A_marginal,5,ks_to_N01,0.05985018028137709
L64_champion,A_marginal,6,skew,-0.5805167615509832
L64_champion,A_marginal,6,kurt_excess,1.3839243469957676
L64_champion,A_marginal,6,ks_to_N01,0.06040625799647714
L64_champion,B_cross_scale,1,mmd2_marginal,0.005914807319641113
L64_champion,B_cross_scale,1,w1_marginal,0.10650495442845709
L64_champion,B_cross_scale,1,ks_marginal,0.06068000000000001
L64_champion,B_cross_scale,2,mmd2_marginal,0.00026679039001464844
L64_champion,B_cross_scale,2,w1_marginal,0.0349257753113981
L64_champion,B_cross_scale,2,ks_marginal,0.019276249999999995
L64_champion,B_cross_scale,3,mmd2_marginal,0.0009696483612060547
L64_champion,B_cross_scale,3,w1_marginal,0.03976300930615685
L64_champion,B_cross_scale,3,ks_marginal,0.03128124999999998
L64_champion,B_cross_scale,4,mmd2_marginal,-4.4226646423339844e-05
L64_champion,B_cross_scale,4,w1_marginal,0.026254567344551154
L64_champion,B_cross_scale,4,ks_marginal,0.01775
L64_champion,B_cross_scale,5,mmd2_marginal,-0.00042259693145751953
L64_champion,B_cross_scale,5,w1_marginal,0.05162226622069649
L64_champion,B_cross_scale,5,ks_marginal,0.026
L64_champion,C_Gr,1,G0,4.225592613220215
L64_champion,C_Gr,1,xi_s,458.326385737639
L64_champion,C_Gr,2,G0,5.775511741638184
L64_champion,C_Gr,2,xi_s,inf
L64_champion,C_Gr,3,G0,2.9320549964904785
L64_champion,C_Gr,3,xi_s,78.51638332414669
L64_champion,C_Gr,4,G0,1.291335940361023
L64_champion,C_Gr,4,xi_s,nan
L64_champion,C_Gr,5,G0,0.5546504259109497
L64_champion,C_Gr,5,xi_s,nan
L64_champion,D_fwd_inv,1,mmd2_marginal,0.001345992088317871
L64_champion,D_fwd_inv,2,mmd2_marginal,0.012340426445007324
L64_champion,D_fwd_inv,3,mmd2_marginal,0.011638522148132324
L64_champion,D_fwd_inv,4,mmd2_marginal,0.005870223045349121
L64_champion,D_fwd_inv,5,mmd2_marginal,0.00447690486907959
