model,section,scale,metric,value
champion,A_marginal,1,skew,-0.31932132057574936
champion,A_marginal,1,kurt_excess,1.5624265881787291
champion,A_marginal,1,ks_to_N01,0.02462000614483484
champion,A_marginal,2,skew,-0.48667861082766894
champion,A_marginal,2,kurt_excess,2.9883477033999064
champion,A_marginal,2,ks_to_N01,0.07677984088505849
champion,A_marginal,3,skew,-0.8188794342762228
champion,A_marginal,3,kurt_excess,3.2232551594587058
champion,A_marginal,3,ks_to_N01,0.08483278120168447
champion,A_marginal,4,skew,-0.639049331181092
champion,A_marginal,4,kurt_excess,2.386456446603747
champion,A_marginal,4,ks_to_N01,0.064146284576794
champion,A_marginal,5,skew,-0.6995192512689996
champion,A_marginal,5,kurt_excess,2.4410356999990084
champion,A_marginal,5,ks_to_N01,0.05985018028137709
champion,A_marginal,6,skew,-0.5805167615509832
champion,A_marginal,6,kurt_excess,1.3839243469957676
champion,A_marginal,6,ks_to_N01,0.06040625799647714
champion,B_cross_scale,1,mmd2_marginal,0.005915284156799316
champion,B_cross_scale,1,w1_marginal,0.10650495442845709
champion,B_cross_scale,1,ks_marginal,0.06068000000000001
champion,B_cross_scale,2,mmd2_marginal,0.0002658367156982422
champion,B_cross_scale,2,w1_marginal,0.0349257753113981
champion,B_cross_scale,2,ks_marginal,0.019276249999999995
champion,B_cross_scale,3,mmd2_marginal,0.0009685754776000977
champion,B_cross_scale,3,w1_marginal,0.03976300930615685
champion,B_cross_scale,3,ks_marginal,0.03128124999999998
champion,B_cross_scale,4,mmd2_marginal,-4.76837158203125e-05
champion,B_cross_scale,4,w1_marginal,0.026254567344551154
champion,B_cross_scale,4,ks_marginal,0.01775
champion,B_cross_scale,5,mmd2_marginal,-0.00042307376861572266
champion,B_cross_scale,5,w1_marginal,0.05162226622069649
champion,B_cross_scale,5,ks_marginal,0.026
champion,C_Gr,1,G0,4.225592613220215
champion,C_Gr,1,xi_s,458.326385737639
champion,C_Gr,2,G0,5.775511741638184
champion,C_Gr,2,xi_s,inf
champion,C_Gr,3,G0,2.9320549964904785
champion,C_Gr,3,xi_s,78.51638332414669
champion,C_Gr,4,G0,1.291335940361023
champion,C_Gr,4,xi_s,nan
champion,C_Gr,5,G0,0.5546504259109497
champion,C_Gr,5,xi_s,nan
champion,D_fwd_inv,1,mmd2_marginal,0.001345992088317871
champion,D_fwd_inv,2,mmd2_marginal,0.01234292984008789
champion,D_fwd_inv,3,mmd2_marginal,0.011638879776000977
champion,D_fwd_inv,4,mmd2_marginal,0.005871415138244629
champion,D_fwd_inv,5,mmd2_marginal,0.004476070404052734
A,A_marginal,1,skew,0.15883033633535656
A,A_marginal,1,kurt_excess,0.7460187303512447
A,A_marginal,1,ks_to_N01,0.01678564121235604
A,A_marginal,2,skew,0.2854874221789681
A,A_marginal,2,kurt_excess,1.2502769230830895
A,A_marginal,2,ks_to_N01,0.015083866761107956
A,A_marginal,3,skew,0.6970090606898462
A,A_marginal,3,kurt_excess,4.744955038458739
A,A_marginal,3,ks_to_N01,0.0467711254072094
A,A_marginal,4,skew,0.5306050437857369
A,A_marginal,4,kurt_excess,9.46277044881438
A,A_marginal,4,ks_to_N01,0.09574470414121608
A,A_marginal,5,skew,-0.33660159572832227
A,A_marginal,5,kurt_excess,6.512792948039888
A,A_marginal,5,ks_to_N01,0.10040953521604168
A,A_marginal,6,skew,0.7055296309932699
A,A_marginal,6,kurt_excess,13.412063925625443
