Using symmetry
>>> Using Physical Prior: Haar Wavelet (Majority Vote)
kernelShape: [2, 2]
load saving at ./opt/32Ising_T2.3_hp_continue/savings/SymmMERA_l10_M3H64_R1_IsingSaving_epoch24900.saving
total nubmer of trainable parameters: 1780400
epoch: 0 L: -2333.490478515625 F: -2333.490478515625 +/- 3.625214099884033
epoch: 1 L: -2196.30224609375 F: -2196.30224609375 +/- 18.98291015625
epoch: 2 L: -2327.105224609375 F: -2327.105224609375 +/- 5.318105220794678
epoch: 3 L: -2289.97119140625 F: -2289.97119140625 +/- 9.905709266662598
epoch: 4 L: -2265.3427734375 F: -2265.3427734375 +/- 11.494939804077148
epoch: 5 L: -2296.900634765625 F: -2296.900634765625 +/- 8.474151611328125
epoch: 6 L: -2321.8662109375 F: -2321.8662109375 +/- 5.225241661071777
epoch: 7 L: -2318.73486328125 F: -2318.73486328125 +/- 6.7268524169921875
epoch: 8 L: -2302.828857421875 F: -2302.828857421875 +/- 7.587155818939209
epoch: 9 L: -2305.27294921875 F: -2305.27294921875 +/- 8.126296997070312
epoch: 10 L: -2317.019287109375 F: -2317.019287109375 +/- 6.150968074798584
epoch: 11 L: -2326.603515625 F: -2326.603515625 +/- 4.836799621582031
epoch: 12 L: -2324.646728515625 F: -2324.646728515625 +/- 5.791541576385498
epoch: 13 L: -2320.023193359375 F: -2320.023193359375 +/- 6.048643112182617
epoch: 14 L: -2318.5810546875 F: -2318.5810546875 +/- 7.2009148597717285
epoch: 15 L: -2324.4912109375 F: -2324.4912109375 +/- 5.5370354652404785
epoch: 16 L: -2329.4521484375 F: -2329.4521484375 +/- 4.490517616271973
epoch: 17 L: -2329.61767578125 F: -2329.61767578125 +/- 4.4578471183776855
epoch: 18 L: -2325.614990234375 F: -2325.614990234375 +/- 5.283814430236816
epoch: 19 L: -2324.8466796875 F: -2324.8466796875 +/- 5.986236572265625
epoch: 20 L: -2327.3466796875 F: -2327.3466796875 +/- 4.728046894073486
epoch: 21 L: -2330.790771484375 F: -2330.790771484375 +/- 3.722508668899536
epoch: 22 L: -2331.03369140625 F: -2331.03369140625 +/- 3.273275136947632
epoch: 23 L: -2328.794921875 F: -2328.794921875 +/- 4.957309246063232
epoch: 24 L: -2327.71728515625 F: -2327.71728515625 +/- 4.746869087219238
epoch: 25 L: -2329.529296875 F: -2329.529296875 +/- 4.040042400360107
epoch: 26 L: -2332.28515625 F: -2332.28515625 +/- 3.771696090698242
epoch: 27 L: -2332.850341796875 F: -2332.850341796875 +/- 3.1322543621063232
epoch: 28 L: -2331.425048828125 F: -2331.425048828125 +/- 4.009206771850586
epoch: 29 L: -2330.30078125 F: -2330.30078125 +/- 4.192965507507324
epoch: 30 L: -2330.88232421875 F: -2330.88232421875 +/- 3.9154882431030273
epoch: 31 L: -2332.85595703125 F: -2332.85595703125 +/- 3.9806559085845947
epoch: 32 L: -2332.6015625 F: -2332.6015625 +/- 4.054886341094971
epoch: 33 L: -2332.41796875 F: -2332.41796875 +/- 3.619450569152832
epoch: 34 L: -2331.907958984375 F: -2331.907958984375 +/- 4.0797834396362305
epoch: 35 L: -2332.1884765625 F: -2332.1884765625 +/- 3.931203603744507
epoch: 36 L: -2332.91552734375 F: -2332.91552734375 +/- 3.264007091522217
epoch: 37 L: -2333.0791015625 F: -2333.0791015625 +/- 3.410865068435669
epoch: 38 L: -2332.27490234375 F: -2332.27490234375 +/- 3.6436927318573
epoch: 39 L: -2332.755859375 F: -2332.755859375 +/- 3.45512056350708
epoch: 40 L: -2332.85888671875 F: -2332.85888671875 +/- 3.5127665996551514
epoch: 41 L: -2333.939208984375 F: -2333.939208984375 +/- 3.1321983337402344
epoch: 42 L: -2333.4853515625 F: -2333.4853515625 +/- 3.541945219039917
epoch: 43 L: -2333.418701171875 F: -2333.418701171875 +/- 3.421618700027466
epoch: 44 L: -2333.187744140625 F: -2333.187744140625 +/- 3.504760980606079
epoch: 45 L: -2333.34228515625 F: -2333.34228515625 +/- 3.704106569290161
epoch: 46 L: -2333.434814453125 F: -2333.434814453125 +/- 3.0946168899536133
epoch: 47 L: -2333.75537109375 F: -2333.75537109375 +/- 3.131768226623535
epoch: 48 L: -2332.81396484375 F: -2332.81396484375 +/- 3.5304598808288574
epoch: 49 L: -2333.27978515625 F: -2333.27978515625 +/- 3.3434677124023438
epoch: 50 L: -2333.704833984375 F: -2333.704833984375 +/- 3.136760950088501
epoch: 51 L: -2333.33544921875 F: -2333.33544921875 +/- 3.698890209197998
epoch: 52 L: -2333.27197265625 F: -2333.27197265625 +/- 3.3858466148376465
epoch: 53 L: -2332.98779296875 F: -2332.98779296875 +/- 3.3559532165527344
epoch: 54 L: -2333.28955078125 F: -2333.28955078125 +/- 3.4699175357818604
epoch: 55 L: -2333.322021484375 F: -2333.322021484375 +/- 3.1531498432159424
epoch: 56 L: -2333.509765625 F: -2333.509765625 +/- 3.5474674701690674
epoch: 57 L: -2333.5625 F: -2333.5625 +/- 3.401317596435547
epoch: 58 L: -2333.82568359375 F: -2333.82568359375 +/- 3.5244221687316895
epoch: 59 L: -2333.33154296875 F: -2333.33154296875 +/- 3.177135944366455
epoch: 60 L: -2333.527587890625 F: -2333.527587890625 +/- 3.4123947620391846
epoch: 61 L: -2333.53369140625 F: -2333.53369140625 +/- 3.1724789142608643
epoch: 62 L: -2333.77001953125 F: -2333.77001953125 +/- 3.2874937057495117
epoch: 63 L: -2333.661865234375 F: -2333.661865234375 +/- 3.2275447845458984
epoch: 64 L: -2333.590087890625 F: -2333.590087890625 +/- 3.303419589996338
epoch: 65 L: -2333.59130859375 F: -2333.59130859375 +/- 3.725348949432373
epoch: 66 L: -2333.837890625 F: -2333.837890625 +/- 3.640697717666626
epoch: 67 L: -2333.548828125 F: -2333.548828125 +/- 3.6046953201293945
epoch: 68 L: -2333.6357421875 F: -2333.6357421875 +/- 3.5942254066467285
epoch: 69 L: -2333.46240234375 F: -2333.46240234375 +/- 3.1581404209136963
epoch: 70 L: -2333.86669921875 F: -2333.86669921875 +/- 3.4098258018493652
epoch: 71 L: -2333.503662109375 F: -2333.503662109375 +/- 3.1771721839904785
epoch: 72 L: -2333.6591796875 F: -2333.6591796875 +/- 3.381498336791992
epoch: 73 L: -2333.34130859375 F: -2333.34130859375 +/- 2.9282569885253906
epoch: 74 L: -2333.51025390625 F: -2333.51025390625 +/- 3.0471179485321045
epoch: 75 L: -2333.915283203125 F: -2333.915283203125 +/- 3.4310553073883057
epoch: 76 L: -2333.78125 F: -2333.78125 +/- 3.5138676166534424
epoch: 77 L: -2333.541748046875 F: -2333.541748046875 +/- 3.3003194332122803
epoch: 78 L: -2334.04248046875 F: -2334.04248046875 +/- 3.3053438663482666
epoch: 79 L: -2333.47998046875 F: -2333.47998046875 +/- 3.108513116836548
epoch: 80 L: -2333.26025390625 F: -2333.26025390625 +/- 3.6171646118164062
epoch: 81 L: -2333.7080078125 F: -2333.7080078125 +/- 3.0906193256378174
epoch: 82 L: -2333.6826171875 F: -2333.6826171875 +/- 3.3022217750549316
epoch: 83 L: -2334.0283203125 F: -2334.0283203125 +/- 3.2045063972473145
epoch: 84 L: -2334.099609375 F: -2334.099609375 +/- 3.533358573913574
epoch: 85 L: -2333.788818359375 F: -2333.788818359375 +/- 3.250009775161743
epoch: 86 L: -2333.289794921875 F: -2333.289794921875 +/- 3.3040757179260254
epoch: 87 L: -2333.6103515625 F: -2333.6103515625 +/- 3.2534539699554443
epoch: 88 L: -2333.82080078125 F: -2333.82080078125 +/- 3.063192129135132
epoch: 89 L: -2333.984130859375 F: -2333.984130859375 +/- 3.38641095161438
epoch: 90 L: -2333.764892578125 F: -2333.764892578125 +/- 3.301165819168091
epoch: 91 L: -2334.1279296875 F: -2334.1279296875 +/- 3.371171236038208
epoch: 92 L: -2333.53125 F: -2333.53125 +/- 3.376009702682495
