>>> Using Physical Prior: Haar Wavelet (Majority Vote)
kernelShape: [2, 2]
total nubmer of trainable parameters: 1780400
epoch: 0 L: -1250.9600830078125 F: -1379.11865234375 +/- 31.05504608154297
epoch: 1 L: -1252.3402099609375 F: -1447.7860107421875 +/- 27.56981086730957
epoch: 2 L: -1392.4168701171875 F: -1483.4373779296875 +/- 25.269575119018555
epoch: 3 L: -1429.781494140625 F: -1507.80078125 +/- 27.813831329345703
epoch: 4 L: -1316.6932373046875 F: -1521.215087890625 +/- 26.481660842895508
epoch: 5 L: -1497.3543701171875 F: -1567.97705078125 +/- 27.416950225830078
epoch: 6 L: -1457.6881103515625 F: -1565.7015380859375 +/- 25.825349807739258
epoch: 7 L: -1584.025390625 F: -1620.861083984375 +/- 23.677236557006836
epoch: 8 L: -1543.4962158203125 F: -1620.74609375 +/- 25.650667190551758
epoch: 9 L: -1603.8365478515625 F: -1656.4830322265625 +/- 25.892990112304688
epoch: 10 L: -1595.566162109375 F: -1671.759033203125 +/- 24.640506744384766
epoch: 11 L: -1637.339111328125 F: -1695.5428466796875 +/- 22.83207130432129
epoch: 12 L: -1703.56494140625 F: -1720.2645263671875 +/- 23.595081329345703
epoch: 13 L: -1683.226806640625 F: -1725.028076171875 +/- 25.422273635864258
epoch: 14 L: -1721.1552734375 F: -1747.91748046875 +/- 26.231748580932617
epoch: 15 L: -1721.216064453125 F: -1761.664306640625 +/- 24.293031692504883
epoch: 16 L: -1735.2115478515625 F: -1773.53271484375 +/- 25.845186233520508
epoch: 17 L: -1786.6907958984375 F: -1797.281005859375 +/- 25.08785057067871
epoch: 18 L: -1786.18408203125 F: -1808.1370849609375 +/- 25.131824493408203
epoch: 19 L: -1797.3828125 F: -1821.84619140625 +/- 22.86089324951172
epoch: 20 L: -1823.2860107421875 F: -1841.8885498046875 +/- 23.41510581970215
epoch: 21 L: -1835.44189453125 F: -1853.15185546875 +/- 24.278846740722656
epoch: 22 L: -1849.4791259765625 F: -1861.1712646484375 +/- 24.93849754333496
epoch: 23 L: -1872.0614013671875 F: -1879.0352783203125 +/- 23.598222732543945
epoch: 24 L: -1870.98681640625 F: -1885.161865234375 +/- 24.444374084472656
epoch: 25 L: -1878.05908203125 F: -1894.459716796875 +/- 25.18505859375
epoch: 26 L: -1898.243896484375 F: -1906.1751708984375 +/- 24.97660255432129
