./main.py:157: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  saved = torch.load(name)
Using symmetry
>>> Using Physical Prior: Weight Tying (Scale Invariance)
kernelShape: [2, 2]
load saving at ./opt/32Ising_T2.3_wt_continue/savings/SymmMERA_l10_M3H64_R1_IsingSaving_epoch14400.saving
total nubmer of trainable parameters: 178040
epoch: 0 L: -2276.5048828125 F: -2276.5048828125 +/- 11.227230072021484
epoch: 1 L: -1815.17431640625 F: -1815.17431640625 +/- 68.44896697998047
epoch: 2 L: -2197.649169921875 F: -2197.649169921875 +/- 17.11245346069336
epoch: 3 L: -2161.2568359375 F: -2161.2568359375 +/- 23.9000301361084
epoch: 4 L: -2119.430419921875 F: -2119.430419921875 +/- 22.139495849609375
epoch: 5 L: -2092.228759765625 F: -2092.228759765625 +/- 23.944433212280273
epoch: 6 L: -2108.75048828125 F: -2108.75048828125 +/- 21.758451461791992
epoch: 7 L: -2152.679443359375 F: -2152.679443359375 +/- 19.569461822509766
epoch: 8 L: -2203.915771484375 F: -2203.915771484375 +/- 17.617717742919922
epoch: 9 L: -2215.06103515625 F: -2215.06103515625 +/- 22.015579223632812
epoch: 10 L: -2204.2490234375 F: -2204.2490234375 +/- 26.041475296020508
epoch: 11 L: -2191.7353515625 F: -2191.7353515625 +/- 18.32853126525879
epoch: 12 L: -2188.008056640625 F: -2188.008056640625 +/- 21.136409759521484
epoch: 13 L: -2205.725830078125 F: -2205.725830078125 +/- 18.728349685668945
epoch: 14 L: -2228.8359375 F: -2228.8359375 +/- 17.973487854003906
epoch: 15 L: -2253.57958984375 F: -2253.57958984375 +/- 13.960725784301758
epoch: 16 L: -2263.487548828125 F: -2263.487548828125 +/- 13.053976058959961
epoch: 17 L: -2255.63623046875 F: -2255.63623046875 +/- 15.480142593383789
epoch: 18 L: -2242.28564453125 F: -2242.28564453125 +/- 14.731375694274902
epoch: 19 L: -2240.1494140625 F: -2240.1494140625 +/- 18.81301498413086
epoch: 20 L: -2243.64892578125 F: -2243.64892578125 +/- 15.046083450317383
epoch: 21 L: -2252.923095703125 F: -2252.923095703125 +/- 13.347084999084473
epoch: 22 L: -2261.37646484375 F: -2261.37646484375 +/- 11.227432250976562
epoch: 23 L: -2260.67919921875 F: -2260.67919921875 +/- 13.68065357208252
epoch: 24 L: -2258.283203125 F: -2258.283203125 +/- 13.30024242401123
epoch: 25 L: -2260.178466796875 F: -2260.178466796875 +/- 12.80103588104248
epoch: 26 L: -2256.21875 F: -2256.21875 +/- 14.498164176940918
epoch: 27 L: -2259.03076171875 F: -2259.03076171875 +/- 14.62264633178711
epoch: 28 L: -2265.765625 F: -2265.765625 +/- 12.089080810546875
epoch: 29 L: -2270.80908203125 F: -2270.80908203125 +/- 11.337628364562988
epoch: 30 L: -2269.44140625 F: -2269.44140625 +/- 12.305575370788574
epoch: 31 L: -2268.5810546875 F: -2268.5810546875 +/- 12.138616561889648
epoch: 32 L: -2265.694091796875 F: -2265.694091796875 +/- 13.02942943572998
epoch: 33 L: -2267.746337890625 F: -2267.746337890625 +/- 12.954203605651855
epoch: 34 L: -2267.1611328125 F: -2267.1611328125 +/- 14.641160011291504
epoch: 35 L: -2267.904541015625 F: -2267.904541015625 +/- 18.005516052246094
epoch: 36 L: -2273.087890625 F: -2273.087890625 +/- 12.296648979187012
epoch: 37 L: -2273.1474609375 F: -2273.1474609375 +/- 12.53618049621582
epoch: 38 L: -2271.1787109375 F: -2271.1787109375 +/- 12.60682487487793
epoch: 39 L: -2270.95068359375 F: -2270.95068359375 +/- 11.84969711303711
epoch: 40 L: -2270.332763671875 F: -2270.332763671875 +/- 12.356576919555664
epoch: 41 L: -2271.858154296875 F: -2271.858154296875 +/- 11.238025665283203
epoch: 42 L: -2272.693115234375 F: -2272.693115234375 +/- 12.020050048828125
epoch: 43 L: -2272.992431640625 F: -2272.992431640625 +/- 10.836761474609375
epoch: 44 L: -2273.1826171875 F: -2273.1826171875 +/- 11.95996379852295
epoch: 45 L: -2274.35400390625 F: -2274.35400390625 +/- 12.589685440063477
epoch: 46 L: -2272.99169921875 F: -2272.99169921875 +/- 11.989239692687988
epoch: 47 L: -2274.37109375 F: -2274.37109375 +/- 13.614500045776367
epoch: 48 L: -2273.477783203125 F: -2273.477783203125 +/- 12.116800308227539
epoch: 49 L: -2275.9326171875 F: -2275.9326171875 +/- 12.333050727844238
epoch: 50 L: -2274.77294921875 F: -2274.77294921875 +/- 12.252305030822754
epoch: 51 L: -2275.46484375 F: -2275.46484375 +/- 12.4434175491333
epoch: 52 L: -2274.72900390625 F: -2274.72900390625 +/- 12.628159523010254
epoch: 53 L: -2274.47216796875 F: -2274.47216796875 +/- 11.891871452331543
epoch: 54 L: -2272.05078125 F: -2272.05078125 +/- 12.972830772399902
