=========================================
Annealing: 2.6 -> 2.6
Folder: 32Ising_T2.6_to_2.6_weightTying
=========================================
Source: opt/32Ising_T2.6_weightTying_continue
Target: opt/32Ising_T2.6_to_2.6_weightTying
Target Temp: 2.6
Original T: 2.6
New T successfully set to: 2.6
./main.py:157: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  saved = torch.load(name)
Using symmetry
>>> Using Physical Prior: Weight Tying (Scale Invariance)
kernelShape: [2, 2]
load saving at ./opt/32Ising_T2.6_to_2.6_weightTying/savings/SymmMERA_l10_M3H64_R1_IsingSaving_epoch7900.saving
total nubmer of trainable parameters: 178040
epoch: 0 L: -2054.71044921875 F: -2054.71044921875 +/- 11.570488929748535
epoch: 1 L: -773.7633666992188 F: -773.7633666992188 +/- 377.4825134277344
epoch: 2 L: -1929.2774658203125 F: -1929.2774658203125 +/- 28.9926815032959
epoch: 3 L: -1960.902099609375 F: -1960.902099609375 +/- 38.03085708618164
epoch: 4 L: -1908.69384765625 F: -1908.69384765625 +/- 40.31919479370117
epoch: 5 L: -1885.4261474609375 F: -1885.4261474609375 +/- 32.931396484375
epoch: 6 L: -1909.748779296875 F: -1909.748779296875 +/- 29.58222007751465
epoch: 7 L: -1954.072265625 F: -1954.072265625 +/- 18.664295196533203
epoch: 8 L: -1963.51806640625 F: -1963.51806640625 +/- 18.385744094848633
epoch: 9 L: -1956.4619140625 F: -1956.4619140625 +/- 22.267282485961914
epoch: 10 L: -1954.9068603515625 F: -1954.9068603515625 +/- 18.888595581054688
epoch: 11 L: -1943.9871826171875 F: -1943.9871826171875 +/- 16.380168914794922
epoch: 12 L: -1942.698974609375 F: -1942.698974609375 +/- 17.01371192932129
epoch: 13 L: -1954.33837890625 F: -1954.33837890625 +/- 15.424619674682617
epoch: 14 L: -1956.284912109375 F: -1956.284912109375 +/- 17.38507080078125
epoch: 15 L: -1956.2391357421875 F: -1956.2391357421875 +/- 18.468965530395508
epoch: 16 L: -1967.840576171875 F: -1967.840576171875 +/- 17.342878341674805
epoch: 17 L: -1976.363037109375 F: -1976.363037109375 +/- 14.980430603027344
epoch: 18 L: -1989.9365234375 F: -1989.9365234375 +/- 13.79636001586914
epoch: 19 L: -1988.785400390625 F: -1988.785400390625 +/- 15.733805656433105
epoch: 20 L: -1986.2125244140625 F: -1986.2125244140625 +/- 14.333497047424316
epoch: 21 L: -1986.378662109375 F: -1986.378662109375 +/- 12.445772171020508
epoch: 22 L: -1992.13134765625 F: -1992.13134765625 +/- 13.145017623901367
epoch: 23 L: -1998.6690673828125 F: -1998.6690673828125 +/- 13.442777633666992
epoch: 24 L: -2000.632080078125 F: -2000.632080078125 +/- 15.000920295715332
epoch: 25 L: -2006.525634765625 F: -2006.525634765625 +/- 14.67012882232666
epoch: 26 L: -2006.2647705078125 F: -2006.2647705078125 +/- 13.935933113098145
epoch: 27 L: -2006.42041015625 F: -2006.42041015625 +/- 14.730345726013184
epoch: 28 L: -2006.4305419921875 F: -2006.4305419921875 +/- 15.42915153503418
epoch: 29 L: -2009.3377685546875 F: -2009.3377685546875 +/- 13.839168548583984
epoch: 30 L: -2010.025390625 F: -2010.025390625 +/- 13.78484058380127
epoch: 31 L: -2011.650390625 F: -2011.650390625 +/- 16.023488998413086
epoch: 32 L: -2015.64208984375 F: -2015.64208984375 +/- 13.098485946655273
epoch: 33 L: -2015.681884765625 F: -2015.681884765625 +/- 13.030037879943848
epoch: 34 L: -2014.506103515625 F: -2014.506103515625 +/- 15.510342597961426
epoch: 35 L: -2016.2734375 F: -2016.2734375 +/- 13.197754859924316
epoch: 36 L: -2018.037841796875 F: -2018.037841796875 +/- 14.507288932800293
epoch: 37 L: -2019.018798828125 F: -2019.018798828125 +/- 13.829133987426758
epoch: 38 L: -2020.572509765625 F: -2020.572509765625 +/- 13.187548637390137
epoch: 39 L: -2020.44384765625 F: -2020.44384765625 +/- 13.321686744689941
epoch: 40 L: -2017.525634765625 F: -2017.525634765625 +/- 12.183562278747559
epoch: 41 L: -2021.26904296875 F: -2021.26904296875 +/- 10.985832214355469
epoch: 42 L: -2020.751708984375 F: -2020.751708984375 +/- 13.594635963439941
epoch: 43 L: -2020.697265625 F: -2020.697265625 +/- 13.230962753295898
epoch: 44 L: -2022.5849609375 F: -2022.5849609375 +/- 12.819259643554688
epoch: 45 L: -2023.559326171875 F: -2023.559326171875 +/- 12.664624214172363
epoch: 46 L: -2024.904541015625 F: -2024.904541015625 +/- 13.796728134155273
epoch: 47 L: -2024.93798828125 F: -2024.93798828125 +/- 13.011021614074707
epoch: 48 L: -2025.325439453125 F: -2025.325439453125 +/- 11.845584869384766
epoch: 49 L: -2027.2755126953125 F: -2027.2755126953125 +/- 12.915149688720703
epoch: 50 L: -2025.572998046875 F: -2025.572998046875 +/- 12.06628131866455
epoch: 51 L: -2027.13427734375 F: -2027.13427734375 +/- 13.067450523376465
epoch: 52 L: -2025.072021484375 F: -2025.072021484375 +/- 13.38900375366211
epoch: 53 L: -2026.7354736328125 F: -2026.7354736328125 +/- 12.390158653259277
epoch: 54 L: -2022.7841796875 F: -2022.7841796875 +/- 14.414358139038086
epoch: 55 L: -2028.183349609375 F: -2028.183349609375 +/- 12.437967300415039
epoch: 56 L: -2027.7470703125 F: -2027.7470703125 +/- 14.524519920349121
epoch: 57 L: -2028.059326171875 F: -2028.059326171875 +/- 13.984703063964844
epoch: 58 L: -2029.16650390625 F: -2029.16650390625 +/- 13.579630851745605
epoch: 59 L: -2027.8463134765625 F: -2027.8463134765625 +/- 12.955864906311035
epoch: 60 L: -2028.24755859375 F: -2028.24755859375 +/- 12.935523986816406
epoch: 61 L: -2027.8470458984375 F: -2027.8470458984375 +/- 12.119016647338867
epoch: 62 L: -2026.6064453125 F: -2026.6064453125 +/- 11.994318962097168
epoch: 63 L: -2027.4453125 F: -2027.4453125 +/- 14.222861289978027
epoch: 64 L: -2028.7686767578125 F: -2028.7686767578125 +/- 12.766707420349121
epoch: 65 L: -2027.8050537109375 F: -2027.8050537109375 +/- 12.996344566345215
epoch: 66 L: -2028.30126953125 F: -2028.30126953125 +/- 12.550902366638184
epoch: 67 L: -2028.7413330078125 F: -2028.7413330078125 +/- 13.427128791809082
epoch: 68 L: -2029.1939697265625 F: -2029.1939697265625 +/- 11.426935195922852
epoch: 69 L: -2029.09326171875 F: -2029.09326171875 +/- 12.320466995239258
epoch: 70 L: -2030.9041748046875 F: -2030.9041748046875 +/- 14.233489990234375
epoch: 71 L: -2029.09375 F: -2029.09375 +/- 12.510449409484863
epoch: 72 L: -2028.6116943359375 F: -2028.6116943359375 +/- 13.891287803649902
epoch: 73 L: -2029.960205078125 F: -2029.960205078125 +/- 11.799911499023438
epoch: 74 L: -2028.7630615234375 F: -2028.7630615234375 +/- 13.109240531921387
epoch: 75 L: -2031.679931640625 F: -2031.679931640625 +/- 11.737849235534668
epoch: 76 L: -2030.1806640625 F: -2030.1806640625 +/- 12.235429763793945
epoch: 77 L: -2032.1390380859375 F: -2032.1390380859375 +/- 12.219747543334961
epoch: 78 L: -2030.53564453125 F: -2030.53564453125 +/- 12.352803230285645
epoch: 79 L: -2029.7296142578125 F: -2029.7296142578125 +/- 14.786523818969727
epoch: 80 L: -2031.453125 F: -2031.453125 +/- 13.198798179626465
epoch: 81 L: -2031.55322265625 F: -2031.55322265625 +/- 11.118664741516113
epoch: 82 L: -2031.08349609375 F: -2031.08349609375 +/- 12.20045280456543
epoch: 83 L: -2032.9444580078125 F: -2032.9444580078125 +/- 13.551088333129883
epoch: 84 L: -2031.8330078125 F: -2031.8330078125 +/- 11.918281555175781
epoch: 85 L: -2032.2646484375 F: -2032.2646484375 +/- 12.555150985717773
epoch: 86 L: -2032.5479736328125 F: -2032.5479736328125 +/- 12.53602123260498
epoch: 87 L: -2030.9736328125 F: -2030.9736328125 +/- 13.57658576965332
epoch: 88 L: -2031.43212890625 F: -2031.43212890625 +/- 13.675332069396973
epoch: 89 L: -2030.81103515625 F: -2030.81103515625 +/- 12.121779441833496
epoch: 90 L: -2032.3685302734375 F: -2032.3685302734375 +/- 13.684880256652832
epoch: 91 L: -2030.776611328125 F: -2030.776611328125 +/- 13.050068855285645
epoch: 92 L: -2032.775390625 F: -2032.775390625 +/- 12.872591972351074
epoch: 93 L: -2032.2791748046875 F: -2032.2791748046875 +/- 12.932233810424805
epoch: 94 L: -2032.236328125 F: -2032.236328125 +/- 14.640460014343262
epoch: 95 L: -2032.69921875 F: -2032.69921875 +/- 11.98518180847168
epoch: 96 L: -2032.689453125 F: -2032.689453125 +/- 13.397933959960938
epoch: 97 L: -2032.6796875 F: -2032.6796875 +/- 12.742423057556152
epoch: 98 L: -2033.30615234375 F: -2033.30615234375 +/- 13.696662902832031
epoch: 99 L: -2033.950439453125 F: -2033.950439453125 +/- 14.05770492553711
epoch: 100 L: -2034.3912353515625 F: -2034.3912353515625 +/- 13.14396858215332
accratio_z: 0.59375 obs_z: 0.44501836116887716  +/-  0.005871282148504994
accratio_x: 0.890625 obs_x: 0.0061536853326700225  +/-  0.000619549137464428
epoch: 101 L: -2033.213623046875 F: -2033.213623046875 +/- 12.502266883850098
epoch: 102 L: -2034.072021484375 F: -2034.072021484375 +/- 11.645505905151367
epoch: 103 L: -2033.097412109375 F: -2033.097412109375 +/- 12.0346040725708
epoch: 104 L: -2032.4566650390625 F: -2032.4566650390625 +/- 13.001708030700684
epoch: 105 L: -2033.608642578125 F: -2033.608642578125 +/- 12.386470794677734
epoch: 106 L: -2030.744140625 F: -2030.744140625 +/- 14.165044784545898
epoch: 107 L: -2033.401611328125 F: -2033.401611328125 +/- 12.406695365905762
epoch: 108 L: -2031.3533935546875 F: -2031.3533935546875 +/- 12.962093353271484
epoch: 109 L: -2032.850830078125 F: -2032.850830078125 +/- 13.561173439025879
epoch: 110 L: -2033.477294921875 F: -2033.477294921875 +/- 14.5675687789917
epoch: 111 L: -2034.0484619140625 F: -2034.0484619140625 +/- 11.485548973083496
epoch: 112 L: -2033.6092529296875 F: -2033.6092529296875 +/- 14.361087799072266
epoch: 113 L: -2033.5941162109375 F: -2033.5941162109375 +/- 12.946717262268066
epoch: 114 L: -2033.3743896484375 F: -2033.3743896484375 +/- 13.09365177154541
epoch: 115 L: -2032.2335205078125 F: -2032.2335205078125 +/- 13.24043083190918
epoch: 116 L: -2033.9635009765625 F: -2033.9635009765625 +/- 13.472298622131348
epoch: 117 L: -2033.496826171875 F: -2033.496826171875 +/- 13.815054893493652
epoch: 118 L: -2033.8485107421875 F: -2033.8485107421875 +/- 13.359360694885254
epoch: 119 L: -2033.093994140625 F: -2033.093994140625 +/- 11.143929481506348
epoch: 120 L: -2034.33203125 F: -2034.33203125 +/- 11.081955909729004
epoch: 121 L: -2032.4478759765625 F: -2032.4478759765625 +/- 14.355212211608887
epoch: 122 L: -2033.49072265625 F: -2033.49072265625 +/- 12.805520057678223
epoch: 123 L: -2032.8330078125 F: -2032.8330078125 +/- 13.503332138061523
epoch: 124 L: -2033.6754150390625 F: -2033.6754150390625 +/- 13.655336380004883
epoch: 125 L: -2034.858154296875 F: -2034.858154296875 +/- 12.157722473144531
epoch: 126 L: -2035.6201171875 F: -2035.6201171875 +/- 12.147154808044434
epoch: 127 L: -2035.1466064453125 F: -2035.1466064453125 +/- 13.804889678955078
epoch: 128 L: -2034.775146484375 F: -2034.775146484375 +/- 12.975685119628906
epoch: 129 L: -2032.777099609375 F: -2032.777099609375 +/- 13.370774269104004
epoch: 130 L: -2034.681640625 F: -2034.681640625 +/- 13.071733474731445
epoch: 131 L: -2034.500732421875 F: -2034.500732421875 +/- 11.908733367919922
epoch: 132 L: -2035.119384765625 F: -2035.119384765625 +/- 12.594793319702148
epoch: 133 L: -2034.6119384765625 F: -2034.6119384765625 +/- 12.757406234741211
epoch: 134 L: -2035.5289306640625 F: -2035.5289306640625 +/- 13.507807731628418
epoch: 135 L: -2034.963134765625 F: -2034.963134765625 +/- 12.493789672851562
epoch: 136 L: -2036.678466796875 F: -2036.678466796875 +/- 11.872783660888672
