=========================================
Annealing: 2.8 -> 2.7
Folder: 32Ising_T2.8_to_2.7_weightTying_from2.8
=========================================
Source: opt/32Ising_T2.8_weightTying
Target: opt/32Ising_T2.8_to_2.7_weightTying_from2.8
Target Temp: 2.7
Original T: 2.8
New T successfully set to: 2.7
./main.py:157: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  saved = torch.load(name)
Using symmetry
>>> Using Physical Prior: Weight Tying (Scale Invariance)
kernelShape: [2, 2]
load saving at ./opt/32Ising_T2.8_to_2.7_weightTying_from2.8/savings/SymmMERA_l10_M3H64_R1_IsingSaving_epoch7900.saving
total nubmer of trainable parameters: 178040
epoch: 0 L: -1971.2589111328125 F: -1971.2589111328125 +/- 14.1559419631958
epoch: 1 L: -322.20513916015625 F: -322.20513916015625 +/- 112.51631164550781
epoch: 2 L: -1836.7271728515625 F: -1836.7271728515625 +/- 65.55531311035156
epoch: 3 L: -1675.956787109375 F: -1675.956787109375 +/- 54.69280242919922
epoch: 4 L: -1320.920654296875 F: -1320.920654296875 +/- 142.37826538085938
epoch: 5 L: -1555.166259765625 F: -1555.166259765625 +/- 201.84986877441406
epoch: 6 L: -1834.70703125 F: -1834.70703125 +/- 78.59503173828125
epoch: 7 L: -1769.5556640625 F: -1769.5556640625 +/- 46.44852066040039
epoch: 8 L: -1740.225341796875 F: -1740.225341796875 +/- 46.25570297241211
epoch: 9 L: -1851.501953125 F: -1851.501953125 +/- 27.88721466064453
epoch: 10 L: -1890.9324951171875 F: -1890.9324951171875 +/- 19.91810417175293
epoch: 11 L: -1830.30712890625 F: -1830.30712890625 +/- 27.968128204345703
epoch: 12 L: -1817.3936767578125 F: -1817.3936767578125 +/- 26.69927215576172
epoch: 13 L: -1841.378173828125 F: -1841.378173828125 +/- 19.18079948425293
epoch: 14 L: -1846.329833984375 F: -1846.329833984375 +/- 15.901925086975098
epoch: 15 L: -1836.802490234375 F: -1836.802490234375 +/- 19.836835861206055
epoch: 16 L: -1859.8046875 F: -1859.8046875 +/- 18.09726905822754
epoch: 17 L: -1891.425537109375 F: -1891.425537109375 +/- 15.320409774780273
epoch: 18 L: -1904.730712890625 F: -1904.730712890625 +/- 14.351910591125488
epoch: 19 L: -1891.3172607421875 F: -1891.3172607421875 +/- 18.39094352722168
epoch: 20 L: -1896.83642578125 F: -1896.83642578125 +/- 16.507280349731445
epoch: 21 L: -1910.130126953125 F: -1910.130126953125 +/- 14.654006958007812
epoch: 22 L: -1907.7891845703125 F: -1907.7891845703125 +/- 13.557536125183105
epoch: 23 L: -1904.9996337890625 F: -1904.9996337890625 +/- 13.998495101928711
epoch: 24 L: -1907.0587158203125 F: -1907.0587158203125 +/- 15.372535705566406
epoch: 25 L: -1920.51025390625 F: -1920.51025390625 +/- 14.13858413696289
epoch: 26 L: -1928.458251953125 F: -1928.458251953125 +/- 12.29438591003418
epoch: 27 L: -1926.3515625 F: -1926.3515625 +/- 13.228574752807617
epoch: 28 L: -1925.019775390625 F: -1925.019775390625 +/- 12.9336519241333
epoch: 29 L: -1929.152099609375 F: -1929.152099609375 +/- 15.143539428710938
epoch: 30 L: -1935.1015625 F: -1935.1015625 +/- 12.707803726196289
epoch: 31 L: -1940.7454833984375 F: -1940.7454833984375 +/- 13.234127044677734
epoch: 32 L: -1940.24609375 F: -1940.24609375 +/- 14.440064430236816
epoch: 33 L: -1936.445068359375 F: -1936.445068359375 +/- 13.803074836730957
epoch: 34 L: -1935.571533203125 F: -1935.571533203125 +/- 15.96579647064209
epoch: 35 L: -1940.053955078125 F: -1940.053955078125 +/- 13.274664878845215
epoch: 36 L: -1948.70849609375 F: -1948.70849609375 +/- 13.240931510925293
epoch: 37 L: -1948.968994140625 F: -1948.968994140625 +/- 11.685257911682129
epoch: 38 L: -1948.7752685546875 F: -1948.7752685546875 +/- 14.049921035766602
epoch: 39 L: -1947.3978271484375 F: -1947.3978271484375 +/- 13.54868221282959
epoch: 40 L: -1948.27978515625 F: -1948.27978515625 +/- 12.810813903808594
epoch: 41 L: -1953.256591796875 F: -1953.256591796875 +/- 12.034065246582031
epoch: 42 L: -1953.0240478515625 F: -1953.0240478515625 +/- 12.482939720153809
epoch: 43 L: -1949.906005859375 F: -1949.906005859375 +/- 13.44210147857666
epoch: 44 L: -1951.6541748046875 F: -1951.6541748046875 +/- 12.884135246276855
epoch: 45 L: -1955.923828125 F: -1955.923828125 +/- 13.99793815612793
epoch: 46 L: -1955.63134765625 F: -1955.63134765625 +/- 15.0543851852417
epoch: 47 L: -1955.24658203125 F: -1955.24658203125 +/- 14.830617904663086
epoch: 48 L: -1956.96875 F: -1956.96875 +/- 13.459217071533203
epoch: 49 L: -1958.808349609375 F: -1958.808349609375 +/- 13.711869239807129
epoch: 50 L: -1956.33203125 F: -1956.33203125 +/- 13.198381423950195
epoch: 51 L: -1958.091064453125 F: -1958.091064453125 +/- 14.178792953491211
epoch: 52 L: -1957.47509765625 F: -1957.47509765625 +/- 14.108783721923828
epoch: 53 L: -1958.333251953125 F: -1958.333251953125 +/- 14.226892471313477
epoch: 54 L: -1955.6109619140625 F: -1955.6109619140625 +/- 16.422157287597656
epoch: 55 L: -1959.2982177734375 F: -1959.2982177734375 +/- 13.733173370361328
epoch: 56 L: -1959.75 F: -1959.75 +/- 14.028595924377441
epoch: 57 L: -1958.1590576171875 F: -1958.1590576171875 +/- 15.265571594238281
epoch: 58 L: -1959.40185546875 F: -1959.40185546875 +/- 14.265299797058105
epoch: 59 L: -1958.96826171875 F: -1958.96826171875 +/- 14.96916675567627
epoch: 60 L: -1960.611083984375 F: -1960.611083984375 +/- 14.0399808883667
epoch: 61 L: -1959.30859375 F: -1959.30859375 +/- 13.439634323120117
epoch: 62 L: -1958.0667724609375 F: -1958.0667724609375 +/- 12.720709800720215
epoch: 63 L: -1958.9647216796875 F: -1958.9647216796875 +/- 12.856977462768555
epoch: 64 L: -1959.222412109375 F: -1959.222412109375 +/- 12.671964645385742
epoch: 65 L: -1960.114990234375 F: -1960.114990234375 +/- 12.60775375366211
epoch: 66 L: -1959.0533447265625 F: -1959.0533447265625 +/- 14.544471740722656
epoch: 67 L: -1959.459716796875 F: -1959.459716796875 +/- 13.845658302307129
epoch: 68 L: -1960.9066162109375 F: -1960.9066162109375 +/- 11.968910217285156
epoch: 69 L: -1959.821044921875 F: -1959.821044921875 +/- 13.621437072753906
epoch: 70 L: -1962.893310546875 F: -1962.893310546875 +/- 15.382091522216797
epoch: 71 L: -1959.68310546875 F: -1959.68310546875 +/- 14.493267059326172
epoch: 72 L: -1960.039306640625 F: -1960.039306640625 +/- 13.124518394470215
epoch: 73 L: -1962.034423828125 F: -1962.034423828125 +/- 12.887124061584473
epoch: 74 L: -1960.46484375 F: -1960.46484375 +/- 13.920052528381348
epoch: 75 L: -1963.760498046875 F: -1963.760498046875 +/- 13.451881408691406
epoch: 76 L: -1962.78125 F: -1962.78125 +/- 13.02013874053955
epoch: 77 L: -1963.501708984375 F: -1963.501708984375 +/- 13.936245918273926
epoch: 78 L: -1961.563720703125 F: -1961.563720703125 +/- 14.443087577819824
epoch: 79 L: -1960.727294921875 F: -1960.727294921875 +/- 15.373485565185547
epoch: 80 L: -1962.7720947265625 F: -1962.7720947265625 +/- 13.666812896728516
epoch: 81 L: -1964.3974609375 F: -1964.3974609375 +/- 11.596121788024902
epoch: 82 L: -1961.7216796875 F: -1961.7216796875 +/- 13.073795318603516
epoch: 83 L: -1961.8084716796875 F: -1961.8084716796875 +/- 14.673632621765137
epoch: 84 L: -1962.674560546875 F: -1962.674560546875 +/- 12.637754440307617
epoch: 85 L: -1963.251220703125 F: -1963.251220703125 +/- 13.245096206665039
epoch: 86 L: -1964.536376953125 F: -1964.536376953125 +/- 11.541305541992188
epoch: 87 L: -1962.6484375 F: -1962.6484375 +/- 14.575395584106445
epoch: 88 L: -1963.4945068359375 F: -1963.4945068359375 +/- 13.690460205078125
epoch: 89 L: -1962.342041015625 F: -1962.342041015625 +/- 13.30453109741211
epoch: 90 L: -1964.729736328125 F: -1964.729736328125 +/- 13.985843658447266
epoch: 91 L: -1962.312255859375 F: -1962.312255859375 +/- 12.73646068572998
epoch: 92 L: -1965.69140625 F: -1965.69140625 +/- 12.995124816894531
epoch: 93 L: -1962.8056640625 F: -1962.8056640625 +/- 13.204742431640625
epoch: 94 L: -1963.772705078125 F: -1963.772705078125 +/- 14.063570022583008
epoch: 95 L: -1963.0986328125 F: -1963.0986328125 +/- 12.767613410949707
epoch: 96 L: -1964.3331298828125 F: -1964.3331298828125 +/- 13.007080078125
epoch: 97 L: -1963.96728515625 F: -1963.96728515625 +/- 12.669897079467773
epoch: 98 L: -1964.79052734375 F: -1964.79052734375 +/- 13.336727142333984
epoch: 99 L: -1964.10302734375 F: -1964.10302734375 +/- 14.611273765563965
