=========================================
Annealing: 2.6 -> 2.5
Folder: 32Ising_T2.6_to_2.5_weightTying_from2.8
=========================================
Source: opt/32Ising_T2.6_to_2.6_weightTying
Target: opt/32Ising_T2.6_to_2.5_weightTying_from2.8
Target Temp: 2.5
Original T: 2.6
New T successfully set to: 2.5
./main.py:157: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  saved = torch.load(name)
Using symmetry
>>> Using Physical Prior: Weight Tying (Scale Invariance)
kernelShape: [2, 2]
load saving at ./opt/32Ising_T2.6_to_2.5_weightTying_from2.8/savings/SymmMERA_l10_M3H64_R1_IsingSaving_epoch7900.saving
total nubmer of trainable parameters: 178040
epoch: 0 L: -2120.696533203125 F: -2120.696533203125 +/- 10.866073608398438
epoch: 1 L: -1795.2130126953125 F: -1795.2130126953125 +/- 177.68492126464844
epoch: 2 L: -2046.1156005859375 F: -2046.1156005859375 +/- 36.42266082763672
epoch: 3 L: -2072.56591796875 F: -2072.56591796875 +/- 24.41774559020996
epoch: 4 L: -2061.04345703125 F: -2061.04345703125 +/- 19.367835998535156
epoch: 5 L: -2059.168701171875 F: -2059.168701171875 +/- 20.507213592529297
epoch: 6 L: -2076.37841796875 F: -2076.37841796875 +/- 15.297799110412598
epoch: 7 L: -2062.65185546875 F: -2062.65185546875 +/- 15.556666374206543
epoch: 8 L: -2063.64013671875 F: -2063.64013671875 +/- 15.282279014587402
epoch: 9 L: -2072.47802734375 F: -2072.47802734375 +/- 14.986800193786621
epoch: 10 L: -2079.73486328125 F: -2079.73486328125 +/- 14.242281913757324
epoch: 11 L: -2071.966552734375 F: -2071.966552734375 +/- 14.323038101196289
epoch: 12 L: -2073.249267578125 F: -2073.249267578125 +/- 12.166755676269531
epoch: 13 L: -2081.646728515625 F: -2081.646728515625 +/- 14.026922225952148
epoch: 14 L: -2092.4951171875 F: -2092.4951171875 +/- 13.084856986999512
epoch: 15 L: -2085.33447265625 F: -2085.33447265625 +/- 13.896588325500488
epoch: 16 L: -2091.072021484375 F: -2091.072021484375 +/- 14.382941246032715
epoch: 17 L: -2093.015380859375 F: -2093.015380859375 +/- 14.365376472473145
epoch: 18 L: -2097.7568359375 F: -2097.7568359375 +/- 13.088220596313477
epoch: 19 L: -2096.00341796875 F: -2096.00341796875 +/- 13.783616065979004
epoch: 20 L: -2094.10400390625 F: -2094.10400390625 +/- 13.837471008300781
epoch: 21 L: -2097.962890625 F: -2097.962890625 +/- 14.108510971069336
epoch: 22 L: -2097.999267578125 F: -2097.999267578125 +/- 12.662199974060059
epoch: 23 L: -2097.744384765625 F: -2097.744384765625 +/- 14.646825790405273
epoch: 24 L: -2094.87158203125 F: -2094.87158203125 +/- 14.857754707336426
epoch: 25 L: -2102.6669921875 F: -2102.6669921875 +/- 15.990890502929688
epoch: 26 L: -2099.36328125 F: -2099.36328125 +/- 14.558348655700684
