=========================================
Annealing: 2.8 -> 2.6
Folder: 32Ising_T2.8_to_2.6_weightTying_from2.8
=========================================
Source: opt/32Ising_T2.8_to_2.7_weightTying_from2.8
Target: opt/32Ising_T2.8_to_2.6_weightTying_from2.8
Target Temp: 2.6
Original T: 2.7
New T successfully set to: 2.6
./main.py:157: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  saved = torch.load(name)
Using symmetry
>>> Using Physical Prior: Weight Tying (Scale Invariance)
kernelShape: [2, 2]
load saving at ./opt/32Ising_T2.8_to_2.6_weightTying_from2.8/savings/SymmMERA_l10_M3H64_R1_IsingSaving_epoch7900.saving
total nubmer of trainable parameters: 178040
epoch: 0 L: -2051.99365234375 F: -2051.99365234375 +/- 9.486092567443848
epoch: 1 L: -1190.0338134765625 F: -1190.0338134765625 +/- 276.3830261230469
epoch: 2 L: -1940.94482421875 F: -1940.94482421875 +/- 85.89100646972656
epoch: 3 L: -1754.410888671875 F: -1754.410888671875 +/- 54.052215576171875
epoch: 4 L: -1807.7640380859375 F: -1807.7640380859375 +/- 118.66080474853516
epoch: 5 L: -1906.384521484375 F: -1906.384521484375 +/- 59.570858001708984
epoch: 6 L: -1927.318359375 F: -1927.318359375 +/- 26.819860458374023
epoch: 7 L: -1981.2008056640625 F: -1981.2008056640625 +/- 15.349591255187988
epoch: 8 L: -1946.7593994140625 F: -1946.7593994140625 +/- 18.01985740661621
epoch: 9 L: -1914.419677734375 F: -1914.419677734375 +/- 25.121801376342773
epoch: 10 L: -1966.58203125 F: -1966.58203125 +/- 17.2733097076416
epoch: 11 L: -1950.63720703125 F: -1950.63720703125 +/- 17.09096908569336
epoch: 12 L: -1927.114501953125 F: -1927.114501953125 +/- 21.16819953918457
epoch: 13 L: -1944.03173828125 F: -1944.03173828125 +/- 15.36388111114502
epoch: 14 L: -1962.431640625 F: -1962.431640625 +/- 16.20686149597168
epoch: 15 L: -1965.5863037109375 F: -1965.5863037109375 +/- 17.135591506958008
epoch: 16 L: -1977.8438720703125 F: -1977.8438720703125 +/- 16.11698341369629
epoch: 17 L: -1975.2080078125 F: -1975.2080078125 +/- 14.618239402770996
epoch: 18 L: -1975.3388671875 F: -1975.3388671875 +/- 17.122392654418945
epoch: 19 L: -1991.009765625 F: -1991.009765625 +/- 14.240918159484863
epoch: 20 L: -1998.244384765625 F: -1998.244384765625 +/- 12.771575927734375
epoch: 21 L: -1985.999267578125 F: -1985.999267578125 +/- 15.507397651672363
epoch: 22 L: -1992.777099609375 F: -1992.777099609375 +/- 15.25625228881836
epoch: 23 L: -2010.3658447265625 F: -2010.3658447265625 +/- 12.026153564453125
epoch: 24 L: -2008.787353515625 F: -2008.787353515625 +/- 15.108769416809082
epoch: 25 L: -2009.2984619140625 F: -2009.2984619140625 +/- 14.628938674926758
epoch: 26 L: -2013.990966796875 F: -2013.990966796875 +/- 14.35537338256836
epoch: 27 L: -2013.7490234375 F: -2013.7490234375 +/- 14.3404541015625
epoch: 28 L: -2012.5557861328125 F: -2012.5557861328125 +/- 15.314629554748535
epoch: 29 L: -2022.4287109375 F: -2022.4287109375 +/- 13.714682579040527
epoch: 30 L: -2018.783935546875 F: -2018.783935546875 +/- 14.209524154663086
epoch: 31 L: -2015.773681640625 F: -2015.773681640625 +/- 15.799908638000488
epoch: 32 L: -2021.7515869140625 F: -2021.7515869140625 +/- 14.387961387634277
epoch: 33 L: -2025.521728515625 F: -2025.521728515625 +/- 13.57667064666748
epoch: 34 L: -2022.459716796875 F: -2022.459716796875 +/- 15.981789588928223
epoch: 35 L: -2020.4521484375 F: -2020.4521484375 +/- 14.948650360107422
epoch: 36 L: -2023.9427490234375 F: -2023.9427490234375 +/- 14.484895706176758
epoch: 37 L: -2023.21484375 F: -2023.21484375 +/- 13.195661544799805
epoch: 38 L: -2024.9820556640625 F: -2024.9820556640625 +/- 13.928450584411621
epoch: 39 L: -2024.9774169921875 F: -2024.9774169921875 +/- 15.002985000610352
epoch: 40 L: -2023.059326171875 F: -2023.059326171875 +/- 14.582597732543945
epoch: 41 L: -2024.8826904296875 F: -2024.8826904296875 +/- 14.224729537963867
epoch: 42 L: -2025.564208984375 F: -2025.564208984375 +/- 13.209354400634766
epoch: 43 L: -2024.809814453125 F: -2024.809814453125 +/- 14.523652076721191
epoch: 44 L: -2025.57373046875 F: -2025.57373046875 +/- 14.069110870361328
epoch: 45 L: -2027.7646484375 F: -2027.7646484375 +/- 13.95993709564209
epoch: 46 L: -2028.4454345703125 F: -2028.4454345703125 +/- 15.261581420898438
epoch: 47 L: -2028.064697265625 F: -2028.064697265625 +/- 15.305807113647461
epoch: 48 L: -2032.329833984375 F: -2032.329833984375 +/- 13.386129379272461
epoch: 49 L: -2032.66162109375 F: -2032.66162109375 +/- 13.785136222839355
epoch: 50 L: -2028.97021484375 F: -2028.97021484375 +/- 13.778007507324219
epoch: 51 L: -2031.9537353515625 F: -2031.9537353515625 +/- 13.150525093078613
epoch: 52 L: -2033.081787109375 F: -2033.081787109375 +/- 12.460310935974121
epoch: 53 L: -2031.614013671875 F: -2031.614013671875 +/- 14.3017578125
epoch: 54 L: -2027.8486328125 F: -2027.8486328125 +/- 15.773009300231934
epoch: 55 L: -2032.0401611328125 F: -2032.0401611328125 +/- 12.899840354919434
epoch: 56 L: -2032.40869140625 F: -2032.40869140625 +/- 13.80893325805664
epoch: 57 L: -2030.4583740234375 F: -2030.4583740234375 +/- 15.100049018859863
epoch: 58 L: -2031.885986328125 F: -2031.885986328125 +/- 13.818222045898438
epoch: 59 L: -2033.1473388671875 F: -2033.1473388671875 +/- 12.484869003295898
epoch: 60 L: -2033.81494140625 F: -2033.81494140625 +/- 12.823810577392578
epoch: 61 L: -2031.4019775390625 F: -2031.4019775390625 +/- 13.161273956298828
epoch: 62 L: -2029.80810546875 F: -2029.80810546875 +/- 12.488615036010742
epoch: 63 L: -2030.796142578125 F: -2030.796142578125 +/- 13.042736053466797
epoch: 64 L: -2032.051513671875 F: -2032.051513671875 +/- 11.938678741455078
epoch: 65 L: -2030.9552001953125 F: -2030.9552001953125 +/- 12.876179695129395
epoch: 66 L: -2032.093994140625 F: -2032.093994140625 +/- 13.772748947143555
epoch: 67 L: -2032.251708984375 F: -2032.251708984375 +/- 14.046074867248535
epoch: 68 L: -2033.9649658203125 F: -2033.9649658203125 +/- 11.614690780639648
epoch: 69 L: -2031.5338134765625 F: -2031.5338134765625 +/- 13.741506576538086
epoch: 70 L: -2033.8419189453125 F: -2033.8419189453125 +/- 14.46173095703125
epoch: 71 L: -2032.375 F: -2032.375 +/- 13.99100112915039
epoch: 72 L: -2031.38671875 F: -2031.38671875 +/- 13.589841842651367
epoch: 73 L: -2034.613525390625 F: -2034.613525390625 +/- 12.214886665344238
epoch: 74 L: -2034.038818359375 F: -2034.038818359375 +/- 13.526474952697754
epoch: 75 L: -2035.5574951171875 F: -2035.5574951171875 +/- 12.148064613342285
epoch: 76 L: -2034.738525390625 F: -2034.738525390625 +/- 12.822822570800781
epoch: 77 L: -2034.4140625 F: -2034.4140625 +/- 13.699210166931152
epoch: 78 L: -2035.50830078125 F: -2035.50830078125 +/- 13.700900077819824
epoch: 79 L: -2033.8883056640625 F: -2033.8883056640625 +/- 14.742091178894043
epoch: 80 L: -2034.6552734375 F: -2034.6552734375 +/- 14.210782051086426
epoch: 81 L: -2035.8714599609375 F: -2035.8714599609375 +/- 13.464500427246094
epoch: 82 L: -2033.9517822265625 F: -2033.9517822265625 +/- 12.633808135986328
epoch: 83 L: -2032.857421875 F: -2032.857421875 +/- 16.051898956298828
