=========================================
Annealing: 2.6 -> 2.4
Folder: 32Ising_T2.6_to_2.4_weightTying
=========================================
Source: opt/32Ising_T2.6_to_2.45_weightTying
Target: opt/32Ising_T2.6_to_2.4_weightTying
Target Temp: 2.4
Original T: 2.45
New T successfully set to: 2.4
./main.py:157: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  saved = torch.load(name)
Using symmetry
>>> Using Physical Prior: Weight Tying (Scale Invariance)
kernelShape: [2, 2]
load saving at ./opt/32Ising_T2.6_to_2.4_weightTying/savings/SymmMERA_l10_M3H64_R1_IsingSaving_epoch7900.saving
total nubmer of trainable parameters: 178040
epoch: 0 L: -2197.16845703125 F: -2197.16845703125 +/- 10.418207168579102
epoch: 1 L: -1956.5302734375 F: -1956.5302734375 +/- 73.69734954833984
epoch: 2 L: -2162.190185546875 F: -2162.190185546875 +/- 24.421253204345703
epoch: 3 L: -2163.08056640625 F: -2163.08056640625 +/- 17.135427474975586
epoch: 4 L: -2118.36083984375 F: -2118.36083984375 +/- 37.99496078491211
epoch: 5 L: -2127.45654296875 F: -2127.45654296875 +/- 31.159603118896484
epoch: 6 L: -2151.042724609375 F: -2151.042724609375 +/- 26.46309471130371
epoch: 7 L: -2163.7314453125 F: -2163.7314453125 +/- 19.795318603515625
epoch: 8 L: -2155.603759765625 F: -2155.603759765625 +/- 16.32325553894043
epoch: 9 L: -2155.933349609375 F: -2155.933349609375 +/- 15.156776428222656
epoch: 10 L: -2164.71044921875 F: -2164.71044921875 +/- 14.582422256469727
epoch: 11 L: -2167.621337890625 F: -2167.621337890625 +/- 14.427331924438477
epoch: 12 L: -2163.96337890625 F: -2163.96337890625 +/- 14.884038925170898
epoch: 13 L: -2162.1630859375 F: -2162.1630859375 +/- 17.156808853149414
epoch: 14 L: -2164.0498046875 F: -2164.0498046875 +/- 16.173574447631836
epoch: 15 L: -2174.04296875 F: -2174.04296875 +/- 13.0213623046875
epoch: 16 L: -2176.9130859375 F: -2176.9130859375 +/- 15.436830520629883
epoch: 17 L: -2174.31591796875 F: -2174.31591796875 +/- 14.508541107177734
epoch: 18 L: -2172.510009765625 F: -2172.510009765625 +/- 12.989618301391602
epoch: 19 L: -2178.67333984375 F: -2178.67333984375 +/- 14.281278610229492
epoch: 20 L: -2181.69140625 F: -2181.69140625 +/- 14.48596477508545
epoch: 21 L: -2179.39599609375 F: -2179.39599609375 +/- 14.540767669677734
epoch: 22 L: -2175.828125 F: -2175.828125 +/- 14.617892265319824
epoch: 23 L: -2176.80810546875 F: -2176.80810546875 +/- 16.7283935546875
epoch: 24 L: -2179.94580078125 F: -2179.94580078125 +/- 15.85993766784668
epoch: 25 L: -2182.771484375 F: -2182.771484375 +/- 14.818009376525879
epoch: 26 L: -2180.144287109375 F: -2180.144287109375 +/- 15.004340171813965
epoch: 27 L: -2180.764892578125 F: -2180.764892578125 +/- 14.613733291625977
epoch: 28 L: -2183.20263671875 F: -2183.20263671875 +/- 13.918281555175781
epoch: 29 L: -2184.04150390625 F: -2184.04150390625 +/- 16.381973266601562
epoch: 30 L: -2182.172119140625 F: -2182.172119140625 +/- 15.731681823730469
epoch: 31 L: -2181.91552734375 F: -2181.91552734375 +/- 14.791281700134277
epoch: 32 L: -2183.949951171875 F: -2183.949951171875 +/- 14.544060707092285
epoch: 33 L: -2186.38916015625 F: -2186.38916015625 +/- 13.862637519836426
epoch: 34 L: -2182.85888671875 F: -2182.85888671875 +/- 14.41269588470459
epoch: 35 L: -2183.416015625 F: -2183.416015625 +/- 13.69386100769043
epoch: 36 L: -2186.501953125 F: -2186.501953125 +/- 14.479416847229004
epoch: 37 L: -2184.18359375 F: -2184.18359375 +/- 13.226280212402344
epoch: 38 L: -2184.287841796875 F: -2184.287841796875 +/- 12.996842384338379
epoch: 39 L: -2184.714599609375 F: -2184.714599609375 +/- 12.922321319580078
epoch: 40 L: -2184.02587890625 F: -2184.02587890625 +/- 13.186110496520996
epoch: 41 L: -2186.703125 F: -2186.703125 +/- 11.265665054321289
epoch: 42 L: -2184.448486328125 F: -2184.448486328125 +/- 14.493188858032227
epoch: 43 L: -2182.740966796875 F: -2182.740966796875 +/- 13.49486255645752
epoch: 44 L: -2184.459716796875 F: -2184.459716796875 +/- 14.238668441772461
epoch: 45 L: -2186.49755859375 F: -2186.49755859375 +/- 13.631302833557129
epoch: 46 L: -2183.779296875 F: -2183.779296875 +/- 14.202138900756836
epoch: 47 L: -2184.656494140625 F: -2184.656494140625 +/- 15.158591270446777
epoch: 48 L: -2184.513671875 F: -2184.513671875 +/- 13.863163948059082
epoch: 49 L: -2187.53271484375 F: -2187.53271484375 +/- 12.943977355957031
epoch: 50 L: -2184.9892578125 F: -2184.9892578125 +/- 13.58702564239502
epoch: 51 L: -2186.23388671875 F: -2186.23388671875 +/- 14.295416831970215
epoch: 52 L: -2185.318359375 F: -2185.318359375 +/- 13.284868240356445
epoch: 53 L: -2185.329833984375 F: -2185.329833984375 +/- 15.637003898620605
epoch: 54 L: -2182.34716796875 F: -2182.34716796875 +/- 14.958776473999023
epoch: 55 L: -2185.6572265625 F: -2185.6572265625 +/- 13.248163223266602
epoch: 56 L: -2186.501708984375 F: -2186.501708984375 +/- 12.994234085083008
epoch: 57 L: -2186.625 F: -2186.625 +/- 14.61669921875
epoch: 58 L: -2187.95654296875 F: -2187.95654296875 +/- 13.813669204711914
epoch: 59 L: -2185.679443359375 F: -2185.679443359375 +/- 13.456888198852539
epoch: 60 L: -2187.058349609375 F: -2187.058349609375 +/- 12.743497848510742
epoch: 61 L: -2186.813232421875 F: -2186.813232421875 +/- 13.016765594482422
epoch: 62 L: -2183.7197265625 F: -2183.7197265625 +/- 12.779767990112305
epoch: 63 L: -2185.45703125 F: -2185.45703125 +/- 13.40932846069336
epoch: 64 L: -2184.31201171875 F: -2184.31201171875 +/- 13.734508514404297
epoch: 65 L: -2186.5341796875 F: -2186.5341796875 +/- 13.053306579589844
epoch: 66 L: -2184.47900390625 F: -2184.47900390625 +/- 14.423824310302734
epoch: 67 L: -2185.7802734375 F: -2185.7802734375 +/- 13.730666160583496
epoch: 68 L: -2182.343994140625 F: -2182.343994140625 +/- 14.1878080368042
epoch: 69 L: -2184.55810546875 F: -2184.55810546875 +/- 13.645111083984375
epoch: 70 L: -2187.55517578125 F: -2187.55517578125 +/- 14.23371410369873
epoch: 71 L: -2183.97802734375 F: -2183.97802734375 +/- 13.456816673278809
epoch: 72 L: -2186.115234375 F: -2186.115234375 +/- 13.066502571105957
epoch: 73 L: -2186.453125 F: -2186.453125 +/- 12.856572151184082
epoch: 74 L: -2182.1748046875 F: -2182.1748046875 +/- 14.796598434448242
epoch: 75 L: -2182.369140625 F: -2182.369140625 +/- 14.287242889404297
epoch: 76 L: -2186.0126953125 F: -2186.0126953125 +/- 13.705510139465332
epoch: 77 L: -2187.61328125 F: -2187.61328125 +/- 14.505681037902832
epoch: 78 L: -2185.23583984375 F: -2185.23583984375 +/- 12.53911018371582
epoch: 79 L: -2183.9951171875 F: -2183.9951171875 +/- 15.00523853302002
epoch: 80 L: -2186.6494140625 F: -2186.6494140625 +/- 12.729933738708496
epoch: 81 L: -2186.992919921875 F: -2186.992919921875 +/- 13.452372550964355
epoch: 82 L: -2185.848876953125 F: -2185.848876953125 +/- 13.186812400817871
epoch: 83 L: -2187.419677734375 F: -2187.419677734375 +/- 14.144984245300293
epoch: 84 L: -2185.64208984375 F: -2185.64208984375 +/- 13.301314353942871
epoch: 85 L: -2185.046875 F: -2185.046875 +/- 13.27979564666748
epoch: 86 L: -2187.568115234375 F: -2187.568115234375 +/- 12.684743881225586
epoch: 87 L: -2186.510498046875 F: -2186.510498046875 +/- 14.61314868927002
epoch: 88 L: -2187.52294921875 F: -2187.52294921875 +/- 13.348153114318848
epoch: 89 L: -2186.689697265625 F: -2186.689697265625 +/- 13.374603271484375
epoch: 90 L: -2186.371337890625 F: -2186.371337890625 +/- 14.773290634155273
epoch: 91 L: -2186.73193359375 F: -2186.73193359375 +/- 12.692516326904297
epoch: 92 L: -2186.52783203125 F: -2186.52783203125 +/- 12.768166542053223
epoch: 93 L: -2181.72119140625 F: -2181.72119140625 +/- 13.922223091125488
epoch: 94 L: -2184.453369140625 F: -2184.453369140625 +/- 15.471261024475098
epoch: 95 L: -2186.404052734375 F: -2186.404052734375 +/- 14.41776180267334
epoch: 96 L: -2186.13427734375 F: -2186.13427734375 +/- 13.144564628601074
epoch: 97 L: -2185.358642578125 F: -2185.358642578125 +/- 14.701727867126465
epoch: 98 L: -2185.807861328125 F: -2185.807861328125 +/- 14.289326667785645
epoch: 99 L: -2187.639404296875 F: -2187.639404296875 +/- 14.148651123046875
epoch: 100 L: -2187.763427734375 F: -2187.763427734375 +/- 13.397024154663086
accratio_z: 0.296875 obs_z: 0.5502524338808144  +/-  0.007150461073358395
accratio_x: 0.8828125 obs_x: 0.006242328714126721  +/-  0.0006597987911852966
epoch: 101 L: -2187.9072265625 F: -2187.9072265625 +/- 12.615179061889648
epoch: 102 L: -2187.70068359375 F: -2187.70068359375 +/- 12.682806968688965
epoch: 103 L: -2187.03466796875 F: -2187.03466796875 +/- 12.74870777130127
epoch: 104 L: -2187.69140625 F: -2187.69140625 +/- 12.082992553710938
epoch: 105 L: -2187.736328125 F: -2187.736328125 +/- 12.578222274780273
epoch: 106 L: -2186.585205078125 F: -2186.585205078125 +/- 13.294418334960938
epoch: 107 L: -2187.093017578125 F: -2187.093017578125 +/- 13.109456062316895
epoch: 108 L: -2187.097900390625 F: -2187.097900390625 +/- 14.452216148376465
epoch: 109 L: -2188.892578125 F: -2188.892578125 +/- 11.799246788024902
epoch: 110 L: -2188.45361328125 F: -2188.45361328125 +/- 13.567361831665039
epoch: 111 L: -2186.751220703125 F: -2186.751220703125 +/- 13.562273979187012
epoch: 112 L: -2188.092041015625 F: -2188.092041015625 +/- 12.202590942382812
epoch: 113 L: -2188.87744140625 F: -2188.87744140625 +/- 13.459846496582031
epoch: 114 L: -2187.3212890625 F: -2187.3212890625 +/- 13.214062690734863
epoch: 115 L: -2185.8955078125 F: -2185.8955078125 +/- 14.002286911010742
epoch: 116 L: -2187.50830078125 F: -2187.50830078125 +/- 14.490337371826172
epoch: 117 L: -2184.32470703125 F: -2184.32470703125 +/- 13.824767112731934
epoch: 118 L: -2183.59423828125 F: -2183.59423828125 +/- 16.870389938354492
epoch: 119 L: -2185.01904296875 F: -2185.01904296875 +/- 13.608800888061523
epoch: 120 L: -2187.64404296875 F: -2187.64404296875 +/- 13.4308443069458
epoch: 121 L: -2185.789306640625 F: -2185.789306640625 +/- 12.410067558288574
epoch: 122 L: -2187.08349609375 F: -2187.08349609375 +/- 13.553959846496582
epoch: 123 L: -2184.980712890625 F: -2184.980712890625 +/- 16.288618087768555
epoch: 124 L: -2186.255126953125 F: -2186.255126953125 +/- 16.232511520385742
epoch: 125 L: -2188.96337890625 F: -2188.96337890625 +/- 14.267518997192383
