Using symmetry
>>> Using Physical Prior: Weight Tying (Scale Invariance)
>>> Using Physical Prior: Haar Wavelet (Majority Vote)
kernelShape: [2, 2]
total nubmer of trainable parameters: 178040
epoch: 0 L: -1015.192138671875 F: -1015.192138671875 +/- 77.74028778076172
epoch: 1 L: -1269.2664794921875 F: -1269.2664794921875 +/- 56.8507194519043
epoch: 2 L: -1161.8265380859375 F: -1161.8265380859375 +/- 75.28984832763672
epoch: 3 L: -1374.248291015625 F: -1374.248291015625 +/- 41.90461349487305
epoch: 4 L: -1468.427734375 F: -1468.427734375 +/- 25.92014503479004
epoch: 5 L: -1410.76708984375 F: -1410.76708984375 +/- 38.71466064453125
epoch: 6 L: -1385.767822265625 F: -1385.767822265625 +/- 41.72178268432617
epoch: 7 L: -1436.8408203125 F: -1436.8408203125 +/- 37.85084533691406
epoch: 8 L: -1512.30712890625 F: -1512.30712890625 +/- 30.679874420166016
epoch: 9 L: -1564.4412841796875 F: -1564.4412841796875 +/- 24.165409088134766
epoch: 10 L: -1572.3887939453125 F: -1572.3887939453125 +/- 32.73597717285156
epoch: 11 L: -1587.38330078125 F: -1587.38330078125 +/- 37.188262939453125
epoch: 12 L: -1639.283935546875 F: -1639.283935546875 +/- 44.81340408325195
epoch: 13 L: -1716.909423828125 F: -1716.909423828125 +/- 53.72264099121094
epoch: 14 L: -1782.4073486328125 F: -1782.4073486328125 +/- 47.39545440673828
epoch: 15 L: -1867.4139404296875 F: -1867.4139404296875 +/- 47.018550872802734
epoch: 16 L: -1982.0386962890625 F: -1982.0386962890625 +/- 53.20569610595703
epoch: 17 L: -2021.297119140625 F: -2021.297119140625 +/- 61.8857421875
epoch: 18 L: -2058.421875 F: -2058.421875 +/- 54.745811462402344
epoch: 19 L: -2096.151611328125 F: -2096.151611328125 +/- 40.04887008666992
epoch: 20 L: -2041.81396484375 F: -2041.81396484375 +/- 41.88579177856445
epoch: 21 L: -2089.701416015625 F: -2089.701416015625 +/- 38.52333068847656
epoch: 22 L: -2088.2626953125 F: -2088.2626953125 +/- 37.16476821899414
epoch: 23 L: -2126.692626953125 F: -2126.692626953125 +/- 31.853986740112305
epoch: 24 L: -2154.398193359375 F: -2154.398193359375 +/- 24.541345596313477
epoch: 25 L: -2132.7958984375 F: -2132.7958984375 +/- 35.34953308105469
epoch: 26 L: -2168.9345703125 F: -2168.9345703125 +/- 24.126102447509766
epoch: 27 L: -2155.29638671875 F: -2155.29638671875 +/- 27.174480438232422
epoch: 28 L: -2143.358154296875 F: -2143.358154296875 +/- 32.15432357788086
epoch: 29 L: -2164.88720703125 F: -2164.88720703125 +/- 24.061128616333008
epoch: 30 L: -2146.87890625 F: -2146.87890625 +/- 26.932392120361328
epoch: 31 L: -2155.45751953125 F: -2155.45751953125 +/- 26.641584396362305
epoch: 32 L: -2173.071533203125 F: -2173.071533203125 +/- 24.4029541015625
epoch: 33 L: -2167.01220703125 F: -2167.01220703125 +/- 27.289648056030273
epoch: 34 L: -2170.61669921875 F: -2170.61669921875 +/- 25.54104232788086
epoch: 35 L: -2181.3037109375 F: -2181.3037109375 +/- 23.520357131958008
epoch: 36 L: -2173.577880859375 F: -2173.577880859375 +/- 24.842342376708984
epoch: 37 L: -2181.3408203125 F: -2181.3408203125 +/- 21.153770446777344
epoch: 38 L: -2183.31787109375 F: -2183.31787109375 +/- 20.160106658935547
epoch: 39 L: -2178.78955078125 F: -2178.78955078125 +/- 22.97308349609375
epoch: 40 L: -2186.63330078125 F: -2186.63330078125 +/- 20.616281509399414
epoch: 41 L: -2187.4990234375 F: -2187.4990234375 +/- 19.360891342163086
epoch: 42 L: -2189.949951171875 F: -2189.949951171875 +/- 20.42681312561035
epoch: 43 L: -2195.79638671875 F: -2195.79638671875 +/- 17.893770217895508
epoch: 44 L: -2195.4921875 F: -2195.4921875 +/- 17.438438415527344
epoch: 45 L: -2195.177734375 F: -2195.177734375 +/- 19.45181655883789
epoch: 46 L: -2197.197509765625 F: -2197.197509765625 +/- 19.636754989624023
epoch: 47 L: -2196.84912109375 F: -2196.84912109375 +/- 18.317371368408203
epoch: 48 L: -2193.046142578125 F: -2193.046142578125 +/- 17.528799057006836
epoch: 49 L: -2202.19140625 F: -2202.19140625 +/- 18.27391242980957
epoch: 50 L: -2202.60888671875 F: -2202.60888671875 +/- 16.256103515625
epoch: 51 L: -2196.555908203125 F: -2196.555908203125 +/- 18.95758056640625
epoch: 52 L: -2203.05615234375 F: -2203.05615234375 +/- 19.21640396118164
epoch: 53 L: -2204.59912109375 F: -2204.59912109375 +/- 15.586803436279297
epoch: 54 L: -2201.62158203125 F: -2201.62158203125 +/- 16.18522071838379
epoch: 55 L: -2203.0478515625 F: -2203.0478515625 +/- 18.829845428466797
epoch: 56 L: -2204.796142578125 F: -2204.796142578125 +/- 17.505342483520508
epoch: 57 L: -2205.33203125 F: -2205.33203125 +/- 16.304256439208984
epoch: 58 L: -2205.35693359375 F: -2205.35693359375 +/- 16.775115966796875
epoch: 59 L: -2205.4912109375 F: -2205.4912109375 +/- 17.48891830444336
epoch: 60 L: -2203.9228515625 F: -2203.9228515625 +/- 15.873794555664062
epoch: 61 L: -2207.96923828125 F: -2207.96923828125 +/- 16.844402313232422
epoch: 62 L: -2208.569580078125 F: -2208.569580078125 +/- 16.058992385864258
epoch: 63 L: -2206.708251953125 F: -2206.708251953125 +/- 18.254657745361328
epoch: 64 L: -2205.130859375 F: -2205.130859375 +/- 17.84393310546875
